Unnamed: 0,correct_keyboard_response_1,correct_response,flanker_condition,opensesame_codename,opensesame_version,response_keyboard_response_1,response_time_keyboard_response_1,subject_nr,target_type
0,1,C,2,Lentiform Loewenfeld,3.3.8,c,515.2280000000028,24,nonword
1,0,C,4,Lentiform Loewenfeld,3.3.8,m,451.6643000000331,24,nonword
2,0,C,1,Lentiform Loewenfeld,3.3.8,m,521.3202999999921,24,nonword
3,1,M,6,Lentiform Loewenfeld,3.3.8,m,496.0899999999965,24,word
4,1,C,2,Lentiform Loewenfeld,3.3.8,c,470.1600000000617,24,nonword
5,1,M,1,Lentiform Loewenfeld,3.3.8,m,625.1117000000086,24,word
6,1,C,4,Lentiform Loewenfeld,3.3.8,c,524.1739000000234,24,nonword
7,1,C,6,Lentiform Loewenfeld,3.3.8,c,543.4326000000001,24,nonword
8,1,M,7,Lentiform Loewenfeld,3.3.8,m,537.7237000000314,24,word
9,1,M,3,Lentiform Loewenfeld,3.3.8,m,403.30340000003343,24,word
10,1,M,5,Lentiform Loewenfeld,3.3.8,m,498.10899999996764,24,word
11,1,C,3,Lentiform Loewenfeld,3.3.8,c,543.5760000000009,24,nonword
12,1,M,2,Lentiform Loewenfeld,3.3.8,m,440.5132000000158,24,word
13,1,C,4,Lentiform Loewenfeld,3.3.8,c,642.991399999999,24,nonword
14,1,C,5,Lentiform Loewenfeld,3.3.8,c,592.7345999999961,24,nonword
15,1,C,5,Lentiform Loewenfeld,3.3.8,c,639.0296999999846,24,nonword
16,1,M,3,Lentiform Loewenfeld,3.3.8,m,483.2725000000209,24,word
17,0,M,7,Lentiform Loewenfeld,3.3.8,c,600.8858999999939,24,word
18,1,M,1,Lentiform Loewenfeld,3.3.8,m,546.4749999999476,24,word
19,1,C,1,Lentiform Loewenfeld,3.3.8,c,510.5875000000233,24,nonword
20,0,C,7,Lentiform Loewenfeld,3.3.8,m,532.5110000000277,24,nonword
21,1,M,5,Lentiform Loewenfeld,3.3.8,m,517.1461000000127,24,word
22,1,M,6,Lentiform Loewenfeld,3.3.8,m,458.4175999999861,24,word
23,1,M,3,Lentiform Loewenfeld,3.3.8,m,702.7012000000104,24,word
24,1,M,7,Lentiform Loewenfeld,3.3.8,m,501.6101000000199,24,word
25,1,C,5,Lentiform Loewenfeld,3.3.8,c,561.8753999999899,24,nonword
26,1,M,5,Lentiform Loewenfeld,3.3.8,m,476.1375999999582,24,word
27,1,M,3,Lentiform Loewenfeld,3.3.8,m,375.608899999992,24,word
28,1,M,4,Lentiform Loewenfeld,3.3.8,m,531.0892000000167,24,word
29,1,C,1,Lentiform Loewenfeld,3.3.8,c,572.3225000000093,24,nonword
30,1,M,7,Lentiform Loewenfeld,3.3.8,m,441.2289999999921,24,word
31,1,M,2,Lentiform Loewenfeld,3.3.8,m,394.39000000001397,24,word
32,0,M,2,Lentiform Loewenfeld,3.3.8,c,508.16659999999683,24,word
33,1,C,3,Lentiform Loewenfeld,3.3.8,c,521.0923999999941,24,nonword
34,1,M,6,Lentiform Loewenfeld,3.3.8,m,357.37100000001374,24,word
35,1,M,5,Lentiform Loewenfeld,3.3.8,m,460.1836000000185,24,word
36,1,C,7,Lentiform Loewenfeld,3.3.8,c,491.1094999999914,24,nonword
37,0,C,4,Lentiform Loewenfeld,3.3.8,m,468.8901999999944,24,nonword
38,1,C,6,Lentiform Loewenfeld,3.3.8,c,524.3291000000027,24,nonword
39,1,C,2,Lentiform Loewenfeld,3.3.8,c,620.4863000000187,24,nonword
40,1,M,4,Lentiform Loewenfeld,3.3.8,m,451.24539999998524,24,word
41,1,M,4,Lentiform Loewenfeld,3.3.8,m,527.4922999999835,24,word
42,1,M,5,Lentiform Loewenfeld,3.3.8,m,375.33969999995315,24,word
43,1,M,2,Lentiform Loewenfeld,3.3.8,m,473.5799999999872,24,word
44,1,C,6,Lentiform Loewenfeld,3.3.8,c,665.200600000011,24,nonword
45,1,C,5,Lentiform Loewenfeld,3.3.8,c,707.4801000000152,24,nonword
46,1,C,1,Lentiform Loewenfeld,3.3.8,c,544.8820000000123,24,nonword
47,1,M,7,Lentiform Loewenfeld,3.3.8,m,678.8216999999713,24,word
48,1,M,4,Lentiform Loewenfeld,3.3.8,m,456.6002000000153,24,word
49,1,C,6,Lentiform Loewenfeld,3.3.8,c,467.37099999998463,24,nonword
50,0,M,7,Lentiform Loewenfeld,3.3.8,c,532.8003000000317,24,word
51,1,M,1,Lentiform Loewenfeld,3.3.8,m,384.39630000002217,24,word
52,1,C,5,Lentiform Loewenfeld,3.3.8,c,458.8953000000038,24,nonword
53,1,C,3,Lentiform Loewenfeld,3.3.8,c,591.8472999999358,24,nonword
54,1,M,4,Lentiform Loewenfeld,3.3.8,m,410.9443999999785,24,word
55,0,C,5,Lentiform Loewenfeld,3.3.8,m,502.08989999996265,24,nonword
