Unnamed: 0,correct_keyboard_response_1,correct_response,flanker_condition,opensesame_codename,opensesame_version,response_keyboard_response_1,response_time_keyboard_response_1,subject_nr,target_type
0,1,M,7,Lentiform Loewenfeld,3.3.8,m,590.8848999999464,37,word
1,1,C,5,Lentiform Loewenfeld,3.3.8,c,642.9444000000076,37,nonword
2,1,M,6,Lentiform Loewenfeld,3.3.8,m,478.22950000001583,37,word
3,1,M,5,Lentiform Loewenfeld,3.3.8,m,552.9799000000348,37,word
4,1,C,7,Lentiform Loewenfeld,3.3.8,c,638.7869999999821,37,nonword
5,1,M,2,Lentiform Loewenfeld,3.3.8,m,564.3582999999926,37,word
6,0,M,7,Lentiform Loewenfeld,3.3.8,c,889.0930000000226,37,word
7,1,C,7,Lentiform Loewenfeld,3.3.8,c,669.4748000000254,37,nonword
8,1,C,5,Lentiform Loewenfeld,3.3.8,c,709.7743000000191,37,nonword
9,0,C,7,Lentiform Loewenfeld,3.3.8,m,739.6903999999922,37,nonword
10,0,C,7,Lentiform Loewenfeld,3.3.8,m,769.1068000000669,37,nonword
11,1,M,6,Lentiform Loewenfeld,3.3.8,m,618.3354999999574,37,word
12,1,M,2,Lentiform Loewenfeld,3.3.8,m,487.61149999997,37,word
13,1,C,3,Lentiform Loewenfeld,3.3.8,c,654.0664999999863,37,nonword
14,1,C,5,Lentiform Loewenfeld,3.3.8,c,829.9848000000056,37,nonword
15,0,C,5,Lentiform Loewenfeld,3.3.8,m,640.75900000002,37,nonword
16,1,C,5,Lentiform Loewenfeld,3.3.8,c,714.7538999999815,37,nonword
17,1,M,6,Lentiform Loewenfeld,3.3.8,m,557.4615999999805,37,word
18,1,C,2,Lentiform Loewenfeld,3.3.8,c,593.3738000000303,37,nonword
19,1,C,3,Lentiform Loewenfeld,3.3.8,c,589.8001999999979,37,nonword
20,0,C,6,Lentiform Loewenfeld,3.3.8,m,725.2415000000037,37,nonword
21,1,C,1,Lentiform Loewenfeld,3.3.8,c,734.9761999999755,37,nonword
22,1,M,3,Lentiform Loewenfeld,3.3.8,m,634.787799999991,37,word
23,1,M,1,Lentiform Loewenfeld,3.3.8,m,509.5014000000083,37,word
24,1,C,4,Lentiform Loewenfeld,3.3.8,c,579.6043000000063,37,nonword
25,0,C,6,Lentiform Loewenfeld,3.3.8,m,1030.7141999999876,37,nonword
26,1,M,5,Lentiform Loewenfeld,3.3.8,m,679.1420999999973,37,word
27,1,M,4,Lentiform Loewenfeld,3.3.8,m,596.3538000000117,37,word
28,1,M,4,Lentiform Loewenfeld,3.3.8,m,477.43369999999413,37,word
29,1,C,5,Lentiform Loewenfeld,3.3.8,c,526.8827000000165,37,nonword
30,1,C,1,Lentiform Loewenfeld,3.3.8,c,528.498900000006,37,nonword
31,1,C,4,Lentiform Loewenfeld,3.3.8,c,734.7787999999709,37,nonword
32,0,C,6,Lentiform Loewenfeld,3.3.8,m,499.55100000000675,37,nonword
33,0,M,6,Lentiform Loewenfeld,3.3.8,c,699.6478999999526,37,word
34,1,M,5,Lentiform Loewenfeld,3.3.8,m,573.5789999999979,37,word
35,1,C,7,Lentiform Loewenfeld,3.3.8,c,625.4987999999721,37,nonword
36,1,C,3,Lentiform Loewenfeld,3.3.8,c,521.6216999999888,37,nonword
37,1,C,1,Lentiform Loewenfeld,3.3.8,c,637.2658999999985,37,nonword
38,1,M,6,Lentiform Loewenfeld,3.3.8,m,571.8244999999588,37,word
39,1,C,4,Lentiform Loewenfeld,3.3.8,c,731.7325999999302,37,nonword
40,1,M,2,Lentiform Loewenfeld,3.3.8,m,550.1367999999784,37,word
41,1,M,3,Lentiform Loewenfeld,3.3.8,m,687.0968000000285,37,word
42,1,M,5,Lentiform Loewenfeld,3.3.8,m,461.1721999999718,37,word
43,1,C,7,Lentiform Loewenfeld,3.3.8,c,621.9680999999691,37,nonword
44,1,M,2,Lentiform Loewenfeld,3.3.8,m,457.4065999999584,37,word
45,0,C,5,Lentiform Loewenfeld,3.3.8,m,637.1705000000075,37,nonword
46,1,M,6,Lentiform Loewenfeld,3.3.8,m,519.4102999999595,37,word
47,1,C,4,Lentiform Loewenfeld,3.3.8,c,561.4252999999444,37,nonword
48,1,C,5,Lentiform Loewenfeld,3.3.8,c,663.5149999999849,37,nonword
49,1,C,1,Lentiform Loewenfeld,3.3.8,c,534.8962999999931,37,nonword
50,1,M,3,Lentiform Loewenfeld,3.3.8,m,526.510099999985,37,word
51,0,C,3,Lentiform Loewenfeld,3.3.8,m,627.1152000000002,37,nonword
52,1,C,4,Lentiform Loewenfeld,3.3.8,c,787.1675999999861,37,nonword
53,1,C,5,Lentiform Loewenfeld,3.3.8,c,571.7567000000272,37,nonword
54,1,C,5,Lentiform Loewenfeld,3.3.8,c,678.2331999999878,37,nonword
55,1,M,4,Lentiform Loewenfeld,3.3.8,m,429.9087999999756,37,word
56,1,M,3,Lentiform Loewenfeld,3.3.8,m,553.8817999999737,37,word
57,1,C,1,Lentiform Loewenfeld,3.3.8,c,586.2045999999973,37,nonword
58,1,M,4,Lentiform Loewenfeld,3.3.8,m,433.5936999999685,37,word
59,1,C,4,Lentiform Loewenfeld,3.3.8,c,576.243300000031,37,nonword
60,1,M,1,Lentiform Loewenfeld,3.3.8,m,507.01680000004126,37,word
61,1,C,7,Lentiform Loewenfeld,3.3.8,c,527.7758000000031,37,nonword
62,1,C,5,Lentiform Loewenfeld,3.3.8,c,598.9406000000308,37,nonword
63,1,M,2,Lentiform Loewenfeld,3.3.8,m,548.8053000000073,37,word
64,1,M,1,Lentiform Loewenfeld,3.3.8,m,559.5819000000483,37,word
65,1,C,4,Lentiform Loewenfeld,3.3.8,c,671.2041000000318,37,nonword
66,1,M,3,Lentiform Loewenfeld,3.3.8,m,507.77209999994375,37,word
67,1,M,2,Lentiform Loewenfeld,3.3.8,m,479.4245000000228,37,word
68,1,C,3,Lentiform Loewenfeld,3.3.8,c,590.5345000000088,37,nonword
69,1,M,7,Lentiform Loewenfeld,3.3.8,m,455.8950000000186,37,word
70,1,M,1,Lentiform Loewenfeld,3.3.8,m,414.7348999999813,37,word
71,1,M,2,Lentiform Loewenfeld,3.3.8,m,442.16930000000866,37,word
72,1,C,7,Lentiform Loewenfeld,3.3.8,c,653.1447000000044,37,nonword
73,1,C,2,Lentiform Loewenfeld,3.3.8,c,596.9040999999852,37,nonword
74,1,M,3,Lentiform Loewenfeld,3.3.8,m,475.8220000000438,37,word
75,1,C,4,Lentiform Loewenfeld,3.3.8,c,669.2780000000494,37,nonword
76,0,C,6,Lentiform Loewenfeld,3.3.8,m,664.211500000034,37,nonword
77,0,C,1,Lentiform Loewenfeld,3.3.8,m,743.5682999999844,37,nonword
78,0,C,1,Lentiform Loewenfeld,3.3.8,m,762.5361999999732,37,nonword
79,1,M,3,Lentiform Loewenfeld,3.3.8,m,597.1063999999897,37,word
80,1,M,7,Lentiform Loewenfeld,3.3.8,m,1054.5528000000631,37,word
81,1,M,4,Lentiform Loewenfeld,3.3.8,m,684.9612999999663,37,word
82,1,M,2,Lentiform Loewenfeld,3.3.8,m,575.1452999999747,37,word
83,1,C,5,Lentiform Loewenfeld,3.3.8,c,591.7767999999342,37,nonword
84,1,C,4,Lentiform Loewenfeld,3.3.8,c,1059.1937000000617,37,nonword
85,1,C,6,Lentiform Loewenfeld,3.3.8,c,718.756400000013,37,nonword
86,1,M,2,Lentiform Loewenfeld,3.3.8,m,505.0119000000413,37,word
87,1,C,7,Lentiform Loewenfeld,3.3.8,c,712.4639999999781,37,nonword
88,1,M,6,Lentiform Loewenfeld,3.3.8,m,612.7316999999457,37,word
89,1,M,5,Lentiform Loewenfeld,3.3.8,m,586.3175999999512,37,word
90,1,M,2,Lentiform Loewenfeld,3.3.8,m,452.0724000000628,37,word
91,1,M,3,Lentiform Loewenfeld,3.3.8,m,640.1998000000021,37,word
92,1,C,7,Lentiform Loewenfeld,3.3.8,c,562.1705000000075,37,nonword
93,0,M,6,Lentiform Loewenfeld,3.3.8,c,833.0540999999503,37,word
94,1,M,2,Lentiform Loewenfeld,3.3.8,m,584.2625000000698,37,word
95,1,M,7,Lentiform Loewenfeld,3.3.8,m,560.8856000000378,37,word
96,1,C,6,Lentiform Loewenfeld,3.3.8,c,542.3761999999406,37,nonword
97,1,M,6,Lentiform Loewenfeld,3.3.8,m,506.623799999943,37,word
98,0,C,3,Lentiform Loewenfeld,3.3.8,m,720.710999999952,37,nonword
99,1,M,7,Lentiform Loewenfeld,3.3.8,m,503.7614000000176,37,word
100,1,M,1,Lentiform Loewenfeld,3.3.8,m,353.8827000000165,37,word
101,1,M,4,Lentiform Loewenfeld,3.3.8,m,350.36230000003707,37,word
102,0,M,6,Lentiform Loewenfeld,3.3.8,c,367.67620000004536,37,word
103,1,C,7,Lentiform Loewenfeld,3.3.8,c,782.6020000000135,37,nonword
104,1,C,7,Lentiform Loewenfeld,3.3.8,c,576.3902000000235,37,nonword
105,1,M,3,Lentiform Loewenfeld,3.3.8,m,384.10880000004545,37,word
106,1,M,4,Lentiform Loewenfeld,3.3.8,m,491.561400000006,37,word
107,1,M,1,Lentiform Loewenfeld,3.3.8,m,383.83950000006007,37,word
108,1,C,4,Lentiform Loewenfeld,3.3.8,c,542.79589999991,37,nonword
109,1,M,5,Lentiform Loewenfeld,3.3.8,m,356.873799999943,37,word
110,1,C,5,Lentiform Loewenfeld,3.3.8,c,706.991399999999,37,nonword
111,1,C,3,Lentiform Loewenfeld,3.3.8,c,589.5633999999845,37,nonword
112,1,C,2,Lentiform Loewenfeld,3.3.8,c,682.6804999999586,37,nonword
113,1,M,6,Lentiform Loewenfeld,3.3.8,m,521.4238999999361,37,word
114,1,M,4,Lentiform Loewenfeld,3.3.8,m,569.7068999999319,37,word
115,0,M,2,Lentiform Loewenfeld,3.3.8,c,635.6351000000723,37,word
116,1,C,4,Lentiform Loewenfeld,3.3.8,c,783.5593999999692,37,nonword
117,1,C,1,Lentiform Loewenfeld,3.3.8,c,1166.982500000042,37,nonword
118,1,C,4,Lentiform Loewenfeld,3.3.8,c,768.4831000000122,37,nonword
119,1,C,1,Lentiform Loewenfeld,3.3.8,c,599.0776000000187,37,nonword
120,1,M,1,Lentiform Loewenfeld,3.3.8,m,549.6485000000102,37,word
121,1,M,7,Lentiform Loewenfeld,3.3.8,m,471.94209999998566,37,word
122,1,C,3,Lentiform Loewenfeld,3.3.8,c,651.5764000000781,37,nonword
123,1,M,3,Lentiform Loewenfeld,3.3.8,m,543.663899999985,37,word
124,0,C,7,Lentiform Loewenfeld,3.3.8,m,376.4190000001108,37,nonword
125,1,M,5,Lentiform Loewenfeld,3.3.8,m,577.7166000001016,37,word
126,1,M,4,Lentiform Loewenfeld,3.3.8,m,605.3203000000212,37,word
