Unnamed: 0,correct_keyboard_response_1,correct_response,flanker_condition,opensesame_codename,opensesame_version,response_keyboard_response_1,response_time_keyboard_response_1,subject_nr,target_type
0,1,M,6,Lentiform Loewenfeld,3.3.8,m,566.5151999999944,42,word
1,1,C,1,Lentiform Loewenfeld,3.3.8,c,916.9211999999534,42,nonword
2,1,M,5,Lentiform Loewenfeld,3.3.8,m,562.4480999999796,42,word
3,1,M,6,Lentiform Loewenfeld,3.3.8,m,524.9051999999792,42,word
4,1,C,7,Lentiform Loewenfeld,3.3.8,c,787.0265000000072,42,nonword
5,1,M,1,Lentiform Loewenfeld,3.3.8,m,520.265699999989,42,word
6,1,C,5,Lentiform Loewenfeld,3.3.8,c,640.4845999999961,42,nonword
7,1,C,5,Lentiform Loewenfeld,3.3.8,c,820.0637999999744,42,nonword
8,1,M,2,Lentiform Loewenfeld,3.3.8,m,462.53429999997024,42,word
9,1,M,2,Lentiform Loewenfeld,3.3.8,m,529.0902999999525,42,word
10,1,C,1,Lentiform Loewenfeld,3.3.8,c,552.5032000000356,42,nonword
11,1,C,2,Lentiform Loewenfeld,3.3.8,c,589.9308999999776,42,nonword
12,1,C,7,Lentiform Loewenfeld,3.3.8,c,609.7350999999908,42,nonword
13,1,M,7,Lentiform Loewenfeld,3.3.8,m,527.4850000000151,42,word
14,1,M,2,Lentiform Loewenfeld,3.3.8,m,670.2749000000185,42,word
15,1,C,5,Lentiform Loewenfeld,3.3.8,c,778.5876999999455,42,nonword
16,0,M,4,Lentiform Loewenfeld,3.3.8,c,610.8058000000019,42,word
17,1,M,7,Lentiform Loewenfeld,3.3.8,m,509.7414999999746,42,word
18,1,C,5,Lentiform Loewenfeld,3.3.8,c,524.6651999999885,42,nonword
19,1,C,6,Lentiform Loewenfeld,3.3.8,c,566.0981000000029,42,nonword
20,1,M,2,Lentiform Loewenfeld,3.3.8,m,531.5959000000439,42,word
21,1,M,3,Lentiform Loewenfeld,3.3.8,m,579.5764999999956,42,word
22,1,M,3,Lentiform Loewenfeld,3.3.8,m,479.64869999999064,42,word
23,0,M,1,Lentiform Loewenfeld,3.3.8,c,552.9183000000194,42,word
24,1,C,7,Lentiform Loewenfeld,3.3.8,c,738.2396000000008,42,nonword
25,1,C,3,Lentiform Loewenfeld,3.3.8,c,677.9583000000275,42,nonword
26,1,M,5,Lentiform Loewenfeld,3.3.8,m,558.1843999999983,42,word
27,1,C,7,Lentiform Loewenfeld,3.3.8,c,607.3691000000108,42,nonword
28,1,M,2,Lentiform Loewenfeld,3.3.8,m,596.7309999999998,42,word
29,1,M,4,Lentiform Loewenfeld,3.3.8,m,605.6195999999763,42,word
30,1,C,3,Lentiform Loewenfeld,3.3.8,c,732.2439000000595,42,nonword
31,1,M,5,Lentiform Loewenfeld,3.3.8,m,558.1498999999603,42,word
32,1,M,2,Lentiform Loewenfeld,3.3.8,m,591.2746000000625,42,word
33,1,C,5,Lentiform Loewenfeld,3.3.8,c,702.4120000000112,42,nonword
34,1,M,5,Lentiform Loewenfeld,3.3.8,m,472.9587000000174,42,word
35,1,M,4,Lentiform Loewenfeld,3.3.8,m,595.9124999999476,42,word
36,1,M,6,Lentiform Loewenfeld,3.3.8,m,443.33129999999073,42,word
37,1,C,6,Lentiform Loewenfeld,3.3.8,c,589.4734999999637,42,nonword
38,1,C,2,Lentiform Loewenfeld,3.3.8,c,570.7054000000353,42,nonword
39,1,M,7,Lentiform Loewenfeld,3.3.8,m,403.4585000000079,42,word
40,1,M,5,Lentiform Loewenfeld,3.3.8,m,496.24580000000424,42,word
41,0,C,2,Lentiform Loewenfeld,3.3.8,m,629.3697000000102,42,nonword
42,1,C,5,Lentiform Loewenfeld,3.3.8,c,709.4322000000102,42,nonword
43,1,M,1,Lentiform Loewenfeld,3.3.8,m,509.01820000002044,42,word
44,0,C,1,Lentiform Loewenfeld,3.3.8,m,763.152700000006,42,nonword
45,1,C,6,Lentiform Loewenfeld,3.3.8,c,652.7455999999656,42,nonword
46,1,M,5,Lentiform Loewenfeld,3.3.8,m,533.5713999999862,42,word
47,1,M,6,Lentiform Loewenfeld,3.3.8,m,525.4518999999564,42,word
48,1,C,5,Lentiform Loewenfeld,3.3.8,c,873.5301999999792,42,nonword
49,1,C,1,Lentiform Loewenfeld,3.3.8,c,643.6243999999715,42,nonword
50,1,M,1,Lentiform Loewenfeld,3.3.8,m,555.905299999984,42,word
51,1,M,1,Lentiform Loewenfeld,3.3.8,m,507.5323000000208,42,word
52,0,M,2,Lentiform Loewenfeld,3.3.8,c,657.4447999999975,42,word
53,1,M,3,Lentiform Loewenfeld,3.3.8,m,914.0346000000136,42,word
54,1,C,1,Lentiform Loewenfeld,3.3.8,c,912.4970000000321,42,nonword
55,1,M,7,Lentiform Loewenfeld,3.3.8,m,512.6659000000218,42,word
56,1,C,7,Lentiform Loewenfeld,3.3.8,c,661.0844999999972,42,nonword
57,1,M,4,Lentiform Loewenfeld,3.3.8,m,476.7130999999936,42,word
58,1,C,4,Lentiform Loewenfeld,3.3.8,c,647.3206000000355,42,nonword
59,1,C,2,Lentiform Loewenfeld,3.3.8,c,763.242900000012,42,nonword
60,0,C,2,Lentiform Loewenfeld,3.3.8,m,640.1478000000352,42,nonword
61,1,C,1,Lentiform Loewenfeld,3.3.8,c,1031.969999999972,42,nonword
62,1,M,4,Lentiform Loewenfeld,3.3.8,m,682.6298999999417,42,word
63,1,M,6,Lentiform Loewenfeld,3.3.8,m,531.7329999999492,42,word
64,1,M,7,Lentiform Loewenfeld,3.3.8,m,655.295999999973,42,word
65,1,C,2,Lentiform Loewenfeld,3.3.8,c,748.5149000000092,42,nonword
66,1,C,4,Lentiform Loewenfeld,3.3.8,c,775.1448000000091,42,nonword
67,1,M,5,Lentiform Loewenfeld,3.3.8,m,611.5832999999402,42,word
68,1,C,7,Lentiform Loewenfeld,3.3.8,c,607.6995999999926,42,nonword
69,1,C,1,Lentiform Loewenfeld,3.3.8,c,536.4490999999107,42,nonword
70,1,M,2,Lentiform Loewenfeld,3.3.8,m,556.6047000000253,42,word
71,1,M,3,Lentiform Loewenfeld,3.3.8,m,588.2940999999992,42,word
72,1,M,7,Lentiform Loewenfeld,3.3.8,m,648.7337000000407,42,word
73,1,C,3,Lentiform Loewenfeld,3.3.8,c,569.9933000000892,42,nonword
74,1,C,4,Lentiform Loewenfeld,3.3.8,c,657.2902000000468,42,nonword
75,1,C,7,Lentiform Loewenfeld,3.3.8,c,677.5226999999722,42,nonword
76,1,C,7,Lentiform Loewenfeld,3.3.8,c,742.126900000032,42,nonword
77,1,M,4,Lentiform Loewenfeld,3.3.8,m,594.8250999999582,42,word
78,1,M,3,Lentiform Loewenfeld,3.3.8,m,470.75070000009146,42,word
79,1,C,7,Lentiform Loewenfeld,3.3.8,c,592.6015999999945,42,nonword
80,1,C,6,Lentiform Loewenfeld,3.3.8,c,1063.8748999999953,42,nonword
81,1,M,4,Lentiform Loewenfeld,3.3.8,m,537.033000000054,42,word
82,1,C,1,Lentiform Loewenfeld,3.3.8,c,465.1535000000731,42,nonword
83,1,C,1,Lentiform Loewenfeld,3.3.8,c,597.0811000000103,42,nonword
84,1,M,4,Lentiform Loewenfeld,3.3.8,m,485.00070000003325,42,word
85,1,M,3,Lentiform Loewenfeld,3.3.8,m,442.7912999999826,42,word
86,1,C,6,Lentiform Loewenfeld,3.3.8,c,539.2361000000383,42,nonword
87,1,M,7,Lentiform Loewenfeld,3.3.8,m,429.7678000000888,42,word
88,1,M,6,Lentiform Loewenfeld,3.3.8,m,570.0975999999791,42,word
89,1,C,6,Lentiform Loewenfeld,3.3.8,c,703.8967999999295,42,nonword
90,1,M,7,Lentiform Loewenfeld,3.3.8,m,541.6354000000283,42,word
91,1,C,4,Lentiform Loewenfeld,3.3.8,c,504.7191000000457,42,nonword
92,1,M,3,Lentiform Loewenfeld,3.3.8,m,535.6830999999074,42,word
93,1,M,5,Lentiform Loewenfeld,3.3.8,m,502.0011999999988,42,word
94,0,C,4,Lentiform Loewenfeld,3.3.8,m,489.6010000000242,42,nonword
95,0,M,7,Lentiform Loewenfeld,3.3.8,c,865.5459000000264,42,word
96,1,M,4,Lentiform Loewenfeld,3.3.8,m,666.942699999956,42,word
97,1,M,4,Lentiform Loewenfeld,3.3.8,m,534.5525999999954,42,word
98,1,M,2,Lentiform Loewenfeld,3.3.8,m,482.27229999995325,42,word
99,1,C,3,Lentiform Loewenfeld,3.3.8,c,680.7533999999869,42,nonword
100,1,M,2,Lentiform Loewenfeld,3.3.8,m,487.469700000016,42,word
101,1,C,1,Lentiform Loewenfeld,3.3.8,c,563.4472999999998,42,nonword
102,1,C,3,Lentiform Loewenfeld,3.3.8,c,730.028399999952,42,nonword
103,1,C,6,Lentiform Loewenfeld,3.3.8,c,620.9331000000238,42,nonword
104,1,C,6,Lentiform Loewenfeld,3.3.8,c,563.203300000052,42,nonword
105,1,M,4,Lentiform Loewenfeld,3.3.8,m,560.6567999999388,42,word
106,1,M,7,Lentiform Loewenfeld,3.3.8,m,677.411199999915,42,word
107,1,C,3,Lentiform Loewenfeld,3.3.8,c,526.486200000043,42,nonword
108,1,C,4,Lentiform Loewenfeld,3.3.8,c,549.5907000000007,42,nonword
109,1,M,5,Lentiform Loewenfeld,3.3.8,m,460.5247999999556,42,word
110,1,C,2,Lentiform Loewenfeld,3.3.8,c,545.1277999999584,42,nonword
111,0,C,1,Lentiform Loewenfeld,3.3.8,m,557.5568000000785,42,nonword
112,1,C,1,Lentiform Loewenfeld,3.3.8,c,765.32150000002,42,nonword
113,1,C,7,Lentiform Loewenfeld,3.3.8,c,610.7549999999464,42,nonword
114,1,M,6,Lentiform Loewenfeld,3.3.8,m,537.3660000000382,42,word
115,1,C,3,Lentiform Loewenfeld,3.3.8,c,588.4681000000564,42,nonword
116,1,M,6,Lentiform Loewenfeld,3.3.8,m,569.5653999999631,42,word
117,1,C,4,Lentiform Loewenfeld,3.3.8,c,578.3193999999785,42,nonword
118,1,M,6,Lentiform Loewenfeld,3.3.8,m,460.0884000000078,42,word
119,1,M,4,Lentiform Loewenfeld,3.3.8,m,609.750800000038,42,word
120,1,M,7,Lentiform Loewenfeld,3.3.8,m,482.34719999996014,42,word
121,1,C,2,Lentiform Loewenfeld,3.3.8,c,500.9162999999826,42,nonword
122,1,M,4,Lentiform Loewenfeld,3.3.8,m,536.6934000000474,42,word
123,1,C,3,Lentiform Loewenfeld,3.3.8,c,783.1489999999758,42,nonword
124,1,M,1,Lentiform Loewenfeld,3.3.8,m,518.2050000000163,42,word
125,1,C,7,Lentiform Loewenfeld,3.3.8,c,615.156500000041,42,nonword
126,1,M,7,Lentiform Loewenfeld,3.3.8,m,595.3099000001093,42,word
127,1,M,7,Lentiform Loewenfeld,3.3.8,m,452.39359999995213,42,word
128,1,C,7,Lentiform Loewenfeld,3.3.8,c,545.0421999999089,42,nonword
129,1,M,5,Lentiform Loewenfeld,3.3.8,m,495.2953000001144,42,word
130,1,M,4,Lentiform Loewenfeld,3.3.8,m,602.099499999953,42,word
131,1,M,7,Lentiform Loewenfeld,3.3.8,m,468.48609999998007,42,word
132,1,C,3,Lentiform Loewenfeld,3.3.8,c,489.46280000009574,42,nonword
133,1,M,4,Lentiform Loewenfeld,3.3.8,m,402.8694999999716,42,word
134,1,C,6,Lentiform Loewenfeld,3.3.8,c,583.3328000000329,42,nonword
135,1,C,7,Lentiform Loewenfeld,3.3.8,c,618.4585000000079,42,nonword
136,1,M,5,Lentiform Loewenfeld,3.3.8,m,469.3904999999795,42,word
137,1,M,3,Lentiform Loewenfeld,3.3.8,m,611.5235000000102,42,word
138,1,M,3,Lentiform Loewenfeld,3.3.8,m,524.2429999999586,42,word
139,0,C,5,Lentiform Loewenfeld,3.3.8,m,786.396699999983,42,nonword
140,1,C,1,Lentiform Loewenfeld,3.3.8,c,642.4574999999604,42,nonword
141,1,M,1,Lentiform Loewenfeld,3.3.8,m,533.1877000000095,42,word
142,1,M,6,Lentiform Loewenfeld,3.3.8,m,454.95530000003055,42,word
143,0,C,4,Lentiform Loewenfeld,3.3.8,m,720.4010999999591,42,nonword
144,1,M,7,Lentiform Loewenfeld,3.3.8,m,570.8424000000232,42,word
145,1,C,3,Lentiform Loewenfeld,3.3.8,c,655.4496000000509,42,nonword
146,1,M,4,Lentiform Loewenfeld,3.3.8,m,476.0376999999862,42,word
147,1,C,6,Lentiform Loewenfeld,3.3.8,c,613.9624999999651,42,nonword
148,1,C,6,Lentiform Loewenfeld,3.3.8,c,632.7318000000087,42,nonword
149,1,M,1,Lentiform Loewenfeld,3.3.8,m,457.3381999999983,42,word
150,1,M,3,Lentiform Loewenfeld,3.3.8,m,468.6510000000126,42,word
151,1,C,5,Lentiform Loewenfeld,3.3.8,c,538.3882000000449,42,nonword
152,1,M,7,Lentiform Loewenfeld,3.3.8,m,387.81589999998687,42,word
153,1,M,5,Lentiform Loewenfeld,3.3.8,m,455.95980000001146,42,word
154,1,M,1,Lentiform Loewenfeld,3.3.8,m,457.70120000001043,42,word
155,1,C,5,Lentiform Loewenfeld,3.3.8,c,559.6775000000489,42,nonword
156,1,C,6,Lentiform Loewenfeld,3.3.8,c,663.0682000000379,42,nonword
157,1,M,2,Lentiform Loewenfeld,3.3.8,m,635.6971999999951,42,word
158,1,M,6,Lentiform Loewenfeld,3.3.8,m,501.96940000000177,42,word
159,1,M,3,Lentiform Loewenfeld,3.3.8,m,445.4181000000099,42,word
160,1,C,2,Lentiform Loewenfeld,3.3.8,c,390.8096999999834,42,nonword
161,1,C,2,Lentiform Loewenfeld,3.3.8,c,601.117200000037,42,nonword
162,1,M,7,Lentiform Loewenfeld,3.3.8,m,539.6340999999666,42,word
163,0,M,6,Lentiform Loewenfeld,3.3.8,c,541.4876000000513,42,word
164,1,M,7,Lentiform Loewenfeld,3.3.8,m,554.5919000000576,42,word
165,1,C,2,Lentiform Loewenfeld,3.3.8,c,628.5726999999606,42,nonword
166,1,M,3,Lentiform Loewenfeld,3.3.8,m,497.8072000000393,42,word
167,1,C,4,Lentiform Loewenfeld,3.3.8,c,479.9660000000149,42,nonword
168,1,M,5,Lentiform Loewenfeld,3.3.8,m,507.3825999999535,42,word
169,1,C,2,Lentiform Loewenfeld,3.3.8,c,468.1478000000352,42,nonword
170,1,M,5,Lentiform Loewenfeld,3.3.8,m,394.25150000001304,42,word
171,1,C,4,Lentiform Loewenfeld,3.3.8,c,532.6964999999618,42,nonword
172,1,C,3,Lentiform Loewenfeld,3.3.8,c,604.3238999999594,42,nonword
173,1,C,2,Lentiform Loewenfeld,3.3.8,c,590.7647000000579,42,nonword
174,1,M,5,Lentiform Loewenfeld,3.3.8,m,398.514499999932,42,word
175,1,M,3,Lentiform Loewenfeld,3.3.8,m,455.117099999974,42,word
176,0,C,4,Lentiform Loewenfeld,3.3.8,m,533.5732999999891,42,nonword
177,1,C,4,Lentiform Loewenfeld,3.3.8,c,541.4939000000013,42,nonword
178,1,M,1,Lentiform Loewenfeld,3.3.8,m,430.42290000000503,42,word
179,0,M,5,Lentiform Loewenfeld,3.3.8,c,491.73379999992903,42,word
180,1,C,6,Lentiform Loewenfeld,3.3.8,c,851.7087000000756,42,nonword
181,1,C,2,Lentiform Loewenfeld,3.3.8,c,606.9334999999264,42,nonword
182,1,M,6,Lentiform Loewenfeld,3.3.8,m,457.69759999995586,42,word
183,1,M,4,Lentiform Loewenfeld,3.3.8,m,467.77780000003986,42,word
184,1,C,3,Lentiform Loewenfeld,3.3.8,c,531.295700000017,42,nonword
185,1,C,7,Lentiform Loewenfeld,3.3.8,c,900.9159999999683,42,nonword
186,1,C,6,Lentiform Loewenfeld,3.3.8,c,566.750900000101,42,nonword
187,1,M,7,Lentiform Loewenfeld,3.3.8,m,555.5119999999879,42,word
188,1,M,2,Lentiform Loewenfeld,3.3.8,m,605.2874000000302,42,word
189,1,M,2,Lentiform Loewenfeld,3.3.8,m,808.7317000000039,42,word
190,1,C,2,Lentiform Loewenfeld,3.3.8,c,477.79510000010487,42,nonword
191,0,C,7,Lentiform Loewenfeld,3.3.8,m,342.2741999999853,42,nonword
192,1,C,3,Lentiform Loewenfeld,3.3.8,c,551.6167000000132,42,nonword
193,1,C,5,Lentiform Loewenfeld,3.3.8,c,518.8483000000706,42,nonword
194,1,M,2,Lentiform Loewenfeld,3.3.8,m,540.7869999998948,42,word
195,1,C,5,Lentiform Loewenfeld,3.3.8,c,548.0650999998907,42,nonword
196,1,M,1,Lentiform Loewenfeld,3.3.8,m,721.501500000013,42,word
197,1,M,1,Lentiform Loewenfeld,3.3.8,m,682.4239999999991,42,word
198,1,C,5,Lentiform Loewenfeld,3.3.8,c,548.2010999999475,42,nonword
199,1,M,5,Lentiform Loewenfeld,3.3.8,m,468.44250000000466,42,word
200,1,M,7,Lentiform Loewenfeld,3.3.8,m,462.5466000000015,42,word
201,1,M,7,Lentiform Loewenfeld,3.3.8,m,439.35229999991134,42,word
202,1,C,3,Lentiform Loewenfeld,3.3.8,c,714.6220999999205,42,nonword
203,1,C,5,Lentiform Loewenfeld,3.3.8,c,522.5212000000756,42,nonword
204,1,C,6,Lentiform Loewenfeld,3.3.8,c,509.7891000000527,42,nonword
205,1,C,7,Lentiform Loewenfeld,3.3.8,c,492.8973999998998,42,nonword
206,1,M,3,Lentiform Loewenfeld,3.3.8,m,494.1624999999767,42,word
207,1,C,7,Lentiform Loewenfeld,3.3.8,c,548.766900000046,42,nonword
208,1,M,4,Lentiform Loewenfeld,3.3.8,m,407.2068999999901,42,word
209,0,C,5,Lentiform Loewenfeld,3.3.8,m,584.8166000000201,42,nonword
210,1,C,2,Lentiform Loewenfeld,3.3.8,c,481.64609999989625,42,nonword
211,0,C,7,Lentiform Loewenfeld,3.3.8,m,453.2492000000784,42,nonword
212,1,C,4,Lentiform Loewenfeld,3.3.8,c,477.8573999999789,42,nonword
