Unnamed: 0,correct_keyboard_response_1,correct_response,flanker_condition,opensesame_codename,opensesame_version,response_keyboard_response_1,response_time_keyboard_response_1,subject_nr,target_type
0,1,M,4,Lentiform Loewenfeld,3.3.8,m,458.57900000001246,35,word
1,1,C,3,Lentiform Loewenfeld,3.3.8,c,495.44880000001285,35,nonword
2,1,C,6,Lentiform Loewenfeld,3.3.8,c,517.5025000000023,35,nonword
3,1,C,3,Lentiform Loewenfeld,3.3.8,c,537.1944999999978,35,nonword
4,1,M,2,Lentiform Loewenfeld,3.3.8,m,474.76149999999325,35,word
5,1,M,3,Lentiform Loewenfeld,3.3.8,m,573.0034999999916,35,word
6,1,M,2,Lentiform Loewenfeld,3.3.8,m,529.3614999999554,35,word
7,1,M,2,Lentiform Loewenfeld,3.3.8,m,480.9201000000176,35,word
8,0,C,2,Lentiform Loewenfeld,3.3.8,m,613.2957999999635,35,nonword
9,0,M,1,Lentiform Loewenfeld,3.3.8,c,995.51979999998,35,word
10,1,M,5,Lentiform Loewenfeld,3.3.8,m,485.0234000000055,35,word
11,1,M,2,Lentiform Loewenfeld,3.3.8,m,429.0377000000153,35,word
12,1,M,5,Lentiform Loewenfeld,3.3.8,m,491.7535999999964,35,word
13,1,C,3,Lentiform Loewenfeld,3.3.8,c,706.320299999963,35,nonword
14,1,C,7,Lentiform Loewenfeld,3.3.8,c,498.98100000002887,35,nonword
15,0,C,5,Lentiform Loewenfeld,3.3.8,m,649.4692000000214,35,nonword
16,1,C,6,Lentiform Loewenfeld,3.3.8,c,677.3454999999667,35,nonword
17,1,M,2,Lentiform Loewenfeld,3.3.8,m,471.86349999994854,35,word
18,1,M,1,Lentiform Loewenfeld,3.3.8,m,438.60719999999856,35,word
19,1,C,3,Lentiform Loewenfeld,3.3.8,c,494.33130000001984,35,nonword
20,1,M,2,Lentiform Loewenfeld,3.3.8,m,623.8067999999912,35,word
21,1,M,7,Lentiform Loewenfeld,3.3.8,m,558.1423999999824,35,word
22,1,C,2,Lentiform Loewenfeld,3.3.8,c,474.4450000000361,35,nonword
23,1,C,1,Lentiform Loewenfeld,3.3.8,c,483.1721999999718,35,nonword
24,1,C,7,Lentiform Loewenfeld,3.3.8,c,615.8010000000068,35,nonword
25,1,C,7,Lentiform Loewenfeld,3.3.8,c,465.80799999999,35,nonword
26,1,M,4,Lentiform Loewenfeld,3.3.8,m,377.1240000000107,35,word
27,1,M,6,Lentiform Loewenfeld,3.3.8,m,505.8896000000241,35,word
28,0,M,2,Lentiform Loewenfeld,3.3.8,c,491.9804000000004,35,word
29,1,C,1,Lentiform Loewenfeld,3.3.8,c,513.580099999992,35,nonword
30,1,M,1,Lentiform Loewenfeld,3.3.8,m,507.5165000000561,35,word
31,1,C,6,Lentiform Loewenfeld,3.3.8,c,509.9985999999626,35,nonword
32,1,M,2,Lentiform Loewenfeld,3.3.8,m,519.531100000022,35,word
33,1,C,7,Lentiform Loewenfeld,3.3.8,c,632.7644000000146,35,nonword
34,0,C,2,Lentiform Loewenfeld,3.3.8,,2150.0175000000163,35,nonword
35,1,M,6,Lentiform Loewenfeld,3.3.8,m,594.016500000027,35,word
36,0,M,6,Lentiform Loewenfeld,3.3.8,c,761.5168999999587,35,word
37,1,C,4,Lentiform Loewenfeld,3.3.8,c,659.0427999999665,35,nonword
38,1,C,4,Lentiform Loewenfeld,3.3.8,c,530.0905000000203,35,nonword
39,1,C,4,Lentiform Loewenfeld,3.3.8,c,697.8018999999622,35,nonword
40,1,M,3,Lentiform Loewenfeld,3.3.8,m,566.6919000000053,35,word
41,1,M,3,Lentiform Loewenfeld,3.3.8,m,440.2820000000065,35,word
42,1,C,1,Lentiform Loewenfeld,3.3.8,c,454.27409999998054,35,nonword
43,1,M,5,Lentiform Loewenfeld,3.3.8,m,411.97690000003786,35,word
44,1,M,5,Lentiform Loewenfeld,3.3.8,m,456.5578000000096,35,word
45,1,M,5,Lentiform Loewenfeld,3.3.8,m,361.26820000002044,35,word
46,1,C,3,Lentiform Loewenfeld,3.3.8,c,405.9947000000102,35,nonword
47,1,M,3,Lentiform Loewenfeld,3.3.8,m,506.7815000000119,35,word
48,0,M,1,Lentiform Loewenfeld,3.3.8,c,428.96390000000247,35,word
49,1,M,4,Lentiform Loewenfeld,3.3.8,m,521.5574999999953,35,word
50,1,C,2,Lentiform Loewenfeld,3.3.8,c,471.72830000001704,35,nonword
51,1,C,4,Lentiform Loewenfeld,3.3.8,c,473.4383000000089,35,nonword
52,1,C,6,Lentiform Loewenfeld,3.3.8,c,483.34270000000834,35,nonword
53,1,M,7,Lentiform Loewenfeld,3.3.8,m,444.68290000001434,35,word
54,0,C,1,Lentiform Loewenfeld,3.3.8,m,680.8898000000336,35,nonword
55,1,M,3,Lentiform Loewenfeld,3.3.8,m,503.90810000002966,35,word
56,1,M,4,Lentiform Loewenfeld,3.3.8,m,657.2699999999895,35,word
57,1,M,1,Lentiform Loewenfeld,3.3.8,m,416.17149999996764,35,word
58,0,M,7,Lentiform Loewenfeld,3.3.8,c,504.4173999999766,35,word
