Unnamed: 0,correct_keyboard_response_1,correct_response,flanker_condition,opensesame_codename,opensesame_version,response_keyboard_response_1,response_time_keyboard_response_1,subject_nr,target_type
0,1,C,5,Lentiform Loewenfeld,3.3.8,c,804.3176999999705,30,nonword
1,1,M,6,Lentiform Loewenfeld,3.3.8,m,706.371100000033,30,word
2,1,M,4,Lentiform Loewenfeld,3.3.8,m,511.6184999999532,30,word
3,1,M,6,Lentiform Loewenfeld,3.3.8,m,575.2205000000249,30,word
4,0,M,4,Lentiform Loewenfeld,3.3.8,c,685.3466999999946,30,word
5,1,C,6,Lentiform Loewenfeld,3.3.8,c,552.5912000000244,30,nonword
6,0,C,7,Lentiform Loewenfeld,3.3.8,m,561.5185000000056,30,nonword
7,1,C,2,Lentiform Loewenfeld,3.3.8,c,519.9698000000208,30,nonword
8,1,M,5,Lentiform Loewenfeld,3.3.8,m,798.064400000032,30,word
9,1,M,5,Lentiform Loewenfeld,3.3.8,m,514.1798000000417,30,word
10,1,C,3,Lentiform Loewenfeld,3.3.8,c,519.4370000000054,30,nonword
11,1,M,4,Lentiform Loewenfeld,3.3.8,m,522.3869000000414,30,word
12,1,M,1,Lentiform Loewenfeld,3.3.8,m,534.6688999999897,30,word
13,1,C,4,Lentiform Loewenfeld,3.3.8,c,530.6341999999713,30,nonword
14,0,C,6,Lentiform Loewenfeld,3.3.8,m,450.93150000006426,30,nonword
15,1,M,5,Lentiform Loewenfeld,3.3.8,m,542.0574000000197,30,word
16,1,M,7,Lentiform Loewenfeld,3.3.8,m,507.112199999945,30,word
17,1,M,2,Lentiform Loewenfeld,3.3.8,m,549.7576999999874,30,word
18,1,M,4,Lentiform Loewenfeld,3.3.8,m,488.3501999999571,30,word
19,1,C,6,Lentiform Loewenfeld,3.3.8,c,582.3064000000013,30,nonword
20,1,M,5,Lentiform Loewenfeld,3.3.8,m,584.2400999999954,30,word
21,1,M,7,Lentiform Loewenfeld,3.3.8,m,554.7007999999914,30,word
22,1,C,1,Lentiform Loewenfeld,3.3.8,c,587.2748999999603,30,nonword
23,1,C,2,Lentiform Loewenfeld,3.3.8,c,566.2038000000175,30,nonword
24,1,C,7,Lentiform Loewenfeld,3.3.8,c,549.4631000000518,30,nonword
25,0,C,3,Lentiform Loewenfeld,3.3.8,m,654.2369999999937,30,nonword
26,1,M,6,Lentiform Loewenfeld,3.3.8,m,589.4863000000187,30,word
27,1,M,4,Lentiform Loewenfeld,3.3.8,m,577.437200000044,30,word
28,1,M,7,Lentiform Loewenfeld,3.3.8,m,602.0350999999791,30,word
29,1,M,5,Lentiform Loewenfeld,3.3.8,m,471.80279999997583,30,word
30,1,C,5,Lentiform Loewenfeld,3.3.8,c,574.2601000000141,30,nonword
31,1,M,6,Lentiform Loewenfeld,3.3.8,m,526.1852999999828,30,word
32,1,C,2,Lentiform Loewenfeld,3.3.8,c,674.4895000000251,30,nonword
33,1,C,4,Lentiform Loewenfeld,3.3.8,c,515.7388999999966,30,nonword
34,1,M,1,Lentiform Loewenfeld,3.3.8,m,564.6664000000164,30,word
35,1,C,7,Lentiform Loewenfeld,3.3.8,c,521.8093999999983,30,nonword
36,0,M,5,Lentiform Loewenfeld,3.3.8,c,570.9070000000647,30,word
37,1,C,3,Lentiform Loewenfeld,3.3.8,c,623.6708999999973,30,nonword
38,1,C,2,Lentiform Loewenfeld,3.3.8,c,969.7791999999608,30,nonword
39,1,C,1,Lentiform Loewenfeld,3.3.8,c,688.4959000000381,30,nonword
40,1,M,2,Lentiform Loewenfeld,3.3.8,m,547.9139999999024,30,word
41,1,C,1,Lentiform Loewenfeld,3.3.8,c,515.8322000000044,30,nonword
42,1,M,1,Lentiform Loewenfeld,3.3.8,m,653.1006000000343,30,word
43,1,M,3,Lentiform Loewenfeld,3.3.8,m,498.5640999999887,30,word
44,1,C,5,Lentiform Loewenfeld,3.3.8,c,570.4788999999291,30,nonword
45,1,M,6,Lentiform Loewenfeld,3.3.8,m,566.9196000000229,30,word
46,1,C,2,Lentiform Loewenfeld,3.3.8,c,556.707800000062,30,nonword
47,1,C,7,Lentiform Loewenfeld,3.3.8,c,683.6492999999609,30,nonword
48,1,C,1,Lentiform Loewenfeld,3.3.8,c,503.9406000000017,30,nonword
49,0,C,6,Lentiform Loewenfeld,3.3.8,m,476.23649999994086,30,nonword
50,1,M,4,Lentiform Loewenfeld,3.3.8,m,535.5043000000005,30,word
51,1,M,4,Lentiform Loewenfeld,3.3.8,m,490.76210000002175,30,word
52,1,M,1,Lentiform Loewenfeld,3.3.8,m,555.8565999999992,30,word
53,1,C,5,Lentiform Loewenfeld,3.3.8,c,531.2828000000154,30,nonword
54,1,M,6,Lentiform Loewenfeld,3.3.8,m,917.2305000000051,30,word
55,1,C,4,Lentiform Loewenfeld,3.3.8,c,612.9605000000156,30,nonword
56,1,M,6,Lentiform Loewenfeld,3.3.8,m,580.0530000000435,30,word
57,1,M,5,Lentiform Loewenfeld,3.3.8,m,499.3125,30,word
58,1,C,7,Lentiform Loewenfeld,3.3.8,c,503.0165000000852,30,nonword
59,1,C,1,Lentiform Loewenfeld,3.3.8,c,511.8381999999692,30,nonword
60,1,C,6,Lentiform Loewenfeld,3.3.8,c,542.8018000000448,30,nonword
61,1,C,4,Lentiform Loewenfeld,3.3.8,c,769.3879000000015,30,nonword
62,1,M,5,Lentiform Loewenfeld,3.3.8,m,444.79470000002766,30,word
63,1,M,1,Lentiform Loewenfeld,3.3.8,m,439.9406000000017,30,word
64,1,M,5,Lentiform Loewenfeld,3.3.8,m,362.35090000004857,30,word
65,1,M,3,Lentiform Loewenfeld,3.3.8,m,351.4842999999528,30,word
66,0,C,5,Lentiform Loewenfeld,3.3.8,m,376.7600000000093,30,nonword
67,1,M,7,Lentiform Loewenfeld,3.3.8,m,513.1007999999856,30,word
68,1,M,3,Lentiform Loewenfeld,3.3.8,m,476.3907000000472,30,word
69,1,C,7,Lentiform Loewenfeld,3.3.8,c,523.193100000004,30,nonword
70,1,C,1,Lentiform Loewenfeld,3.3.8,c,719.7463999999745,30,nonword
71,1,C,4,Lentiform Loewenfeld,3.3.8,c,530.6389999999956,30,nonword
72,1,C,3,Lentiform Loewenfeld,3.3.8,c,892.9182000000728,30,nonword
73,1,M,6,Lentiform Loewenfeld,3.3.8,m,585.8196999999927,30,word
74,1,C,4,Lentiform Loewenfeld,3.3.8,c,560.7269999999553,30,nonword
75,1,M,4,Lentiform Loewenfeld,3.3.8,m,568.8310999999521,30,word
76,1,M,4,Lentiform Loewenfeld,3.3.8,m,497.09699999995064,30,word
77,1,C,5,Lentiform Loewenfeld,3.3.8,c,557.7370999999694,30,nonword
78,1,C,6,Lentiform Loewenfeld,3.3.8,c,608.9920999999158,30,nonword
79,1,C,5,Lentiform Loewenfeld,3.3.8,c,551.0308000000659,30,nonword
80,1,C,1,Lentiform Loewenfeld,3.3.8,c,548.1582000000635,30,nonword
81,1,M,7,Lentiform Loewenfeld,3.3.8,m,505.58519999991404,30,word
82,1,C,1,Lentiform Loewenfeld,3.3.8,c,507.2061999999569,30,nonword
83,1,M,3,Lentiform Loewenfeld,3.3.8,m,544.3240000000224,30,word
84,1,M,4,Lentiform Loewenfeld,3.3.8,m,484.40629999991506,30,word
85,0,M,5,Lentiform Loewenfeld,3.3.8,c,556.8908999999985,30,word
86,1,M,3,Lentiform Loewenfeld,3.3.8,m,532.9890999999479,30,word
87,1,C,3,Lentiform Loewenfeld,3.3.8,c,522.4018000000506,30,nonword
88,1,C,4,Lentiform Loewenfeld,3.3.8,c,544.1878000000725,30,nonword
89,1,M,4,Lentiform Loewenfeld,3.3.8,m,519.525100000028,30,word
90,1,C,3,Lentiform Loewenfeld,3.3.8,c,491.9224000000395,30,nonword
91,1,C,3,Lentiform Loewenfeld,3.3.8,c,593.2386999999289,30,nonword
92,1,M,3,Lentiform Loewenfeld,3.3.8,m,541.4632999999449,30,word
93,1,C,1,Lentiform Loewenfeld,3.3.8,c,504.38180000003194,30,nonword
94,1,M,3,Lentiform Loewenfeld,3.3.8,m,630.2141999999876,30,word
95,1,M,7,Lentiform Loewenfeld,3.3.8,m,822.9490999999689,30,word
96,1,M,5,Lentiform Loewenfeld,3.3.8,m,567.6505999999936,30,word
97,1,M,7,Lentiform Loewenfeld,3.3.8,m,537.319300000032,30,word
98,1,C,5,Lentiform Loewenfeld,3.3.8,c,503.5262000000221,30,nonword
99,1,C,1,Lentiform Loewenfeld,3.3.8,c,599.02290000004,30,nonword
100,1,M,2,Lentiform Loewenfeld,3.3.8,m,527.7652000000235,30,word
101,1,C,2,Lentiform Loewenfeld,3.3.8,c,572.0410999999731,30,nonword
102,1,C,4,Lentiform Loewenfeld,3.3.8,c,583.1245000000927,30,nonword
103,1,C,2,Lentiform Loewenfeld,3.3.8,c,698.5561999999918,30,nonword
104,1,C,5,Lentiform Loewenfeld,3.3.8,c,603.6713000000454,30,nonword
105,1,M,5,Lentiform Loewenfeld,3.3.8,m,505.5486000000383,30,word
106,1,M,2,Lentiform Loewenfeld,3.3.8,m,516.4821999999112,30,word
107,1,C,6,Lentiform Loewenfeld,3.3.8,c,558.4710999999079,30,nonword
108,1,C,5,Lentiform Loewenfeld,3.3.8,c,544.7570000000414,30,nonword
109,1,M,3,Lentiform Loewenfeld,3.3.8,m,494.961900000053,30,word
110,1,M,3,Lentiform Loewenfeld,3.3.8,m,503.46669999998994,30,word
111,1,C,7,Lentiform Loewenfeld,3.3.8,c,502.39120000007097,30,nonword
112,1,M,1,Lentiform Loewenfeld,3.3.8,m,473.6736999999848,30,word
113,1,C,6,Lentiform Loewenfeld,3.3.8,c,490.766100000008,30,nonword
114,1,C,3,Lentiform Loewenfeld,3.3.8,c,729.5739999999641,30,nonword
115,1,M,2,Lentiform Loewenfeld,3.3.8,m,490.82790000003297,30,word
116,1,C,7,Lentiform Loewenfeld,3.3.8,c,581.742799999949,30,nonword
117,1,C,6,Lentiform Loewenfeld,3.3.8,c,836.0107000000426,30,nonword
118,1,C,2,Lentiform Loewenfeld,3.3.8,c,534.4351000000024,30,nonword
119,1,C,6,Lentiform Loewenfeld,3.3.8,c,487.67420000000857,30,nonword
120,1,M,5,Lentiform Loewenfeld,3.3.8,m,537.6059000000823,30,word
121,1,M,1,Lentiform Loewenfeld,3.3.8,m,542.0929000001051,30,word
122,1,C,4,Lentiform Loewenfeld,3.3.8,c,534.1505999999936,30,nonword
123,1,M,1,Lentiform Loewenfeld,3.3.8,m,607.0949999999721,30,word
124,1,C,5,Lentiform Loewenfeld,3.3.8,c,485.04529999993974,30,nonword
125,1,M,5,Lentiform Loewenfeld,3.3.8,m,462.84600000007777,30,word
126,1,C,2,Lentiform Loewenfeld,3.3.8,c,468.6167000000132,30,nonword
127,1,M,6,Lentiform Loewenfeld,3.3.8,m,472.27029999997467,30,word
128,1,C,3,Lentiform Loewenfeld,3.3.8,c,511.0246000000625,30,nonword
129,1,M,6,Lentiform Loewenfeld,3.3.8,m,492.57890000002226,30,word
