Unnamed: 0,correct_keyboard_response_1,correct_response,flanker_condition,opensesame_codename,opensesame_version,response_keyboard_response_1,response_time_keyboard_response_1,subject_nr,target_type
0,1,C,5,Lentiform Loewenfeld,3.3.8,c,617.2770000000164,12,nonword
1,1,M,6,Lentiform Loewenfeld,3.3.8,m,642.9434000000037,12,word
2,1,C,5,Lentiform Loewenfeld,3.3.8,c,615.5202000000281,12,nonword
3,1,M,4,Lentiform Loewenfeld,3.3.8,m,512.8780999999872,12,word
4,1,C,2,Lentiform Loewenfeld,3.3.8,c,626.7358999999997,12,nonword
5,1,C,5,Lentiform Loewenfeld,3.3.8,c,583.5835999999545,12,nonword
6,1,C,6,Lentiform Loewenfeld,3.3.8,c,598.0859000000055,12,nonword
7,0,M,7,Lentiform Loewenfeld,3.3.8,c,590.7952000000223,12,word
8,1,M,1,Lentiform Loewenfeld,3.3.8,m,928.3824000000022,12,word
9,1,C,1,Lentiform Loewenfeld,3.3.8,c,770.8263000000443,12,nonword
10,1,C,4,Lentiform Loewenfeld,3.3.8,c,600.2437999999966,12,nonword
11,1,M,1,Lentiform Loewenfeld,3.3.8,m,498.5381000000052,12,word
12,1,C,3,Lentiform Loewenfeld,3.3.8,c,718.6014999999898,12,nonword
13,0,C,1,Lentiform Loewenfeld,3.3.8,m,698.2833000000392,12,nonword
14,1,M,2,Lentiform Loewenfeld,3.3.8,m,677.181900000025,12,word
15,1,M,6,Lentiform Loewenfeld,3.3.8,m,648.5002000000095,12,word
16,1,M,1,Lentiform Loewenfeld,3.3.8,m,670.0237000000197,12,word
17,1,C,6,Lentiform Loewenfeld,3.3.8,c,765.0489999999991,12,nonword
18,1,C,2,Lentiform Loewenfeld,3.3.8,c,623.8742000000202,12,nonword
19,1,C,6,Lentiform Loewenfeld,3.3.8,c,1139.2318999999843,12,nonword
20,1,M,5,Lentiform Loewenfeld,3.3.8,m,715.3661999999604,12,word
21,1,C,5,Lentiform Loewenfeld,3.3.8,c,604.8700000000244,12,nonword
22,1,C,7,Lentiform Loewenfeld,3.3.8,c,725.5048999999999,12,nonword
23,1,M,7,Lentiform Loewenfeld,3.3.8,m,531.2675000000454,12,word
24,1,C,6,Lentiform Loewenfeld,3.3.8,c,613.5301999999792,12,nonword
25,1,M,6,Lentiform Loewenfeld,3.3.8,m,885.7149999999674,12,word
26,1,M,6,Lentiform Loewenfeld,3.3.8,m,506.71710000003804,12,word
27,1,M,4,Lentiform Loewenfeld,3.3.8,m,444.3061999999918,12,word
28,1,C,6,Lentiform Loewenfeld,3.3.8,c,550.7024000000092,12,nonword
29,1,M,5,Lentiform Loewenfeld,3.3.8,m,510.0594999999739,12,word
30,1,C,4,Lentiform Loewenfeld,3.3.8,c,468.7371999999741,12,nonword
31,1,M,7,Lentiform Loewenfeld,3.3.8,m,696.4552000000258,12,word
32,1,M,2,Lentiform Loewenfeld,3.3.8,m,536.8525999999838,12,word
33,1,C,5,Lentiform Loewenfeld,3.3.8,c,524.7020999999659,12,nonword
34,1,C,7,Lentiform Loewenfeld,3.3.8,c,728.087200000009,12,nonword
35,1,M,3,Lentiform Loewenfeld,3.3.8,m,433.624199999962,12,word
36,1,C,6,Lentiform Loewenfeld,3.3.8,c,521.4909000000334,12,nonword
37,1,C,7,Lentiform Loewenfeld,3.3.8,c,547.5251999999455,12,nonword
38,1,C,2,Lentiform Loewenfeld,3.3.8,c,585.9486000000034,12,nonword
39,1,M,1,Lentiform Loewenfeld,3.3.8,m,548.6798999999883,12,word
40,1,C,4,Lentiform Loewenfeld,3.3.8,c,554.5332000000053,12,nonword
41,1,C,5,Lentiform Loewenfeld,3.3.8,c,593.2315000000235,12,nonword
42,0,C,5,Lentiform Loewenfeld,3.3.8,m,599.810300000041,12,nonword
43,1,C,3,Lentiform Loewenfeld,3.3.8,c,573.0015999999596,12,nonword
44,1,M,7,Lentiform Loewenfeld,3.3.8,m,445.95369999998366,12,word
45,1,C,2,Lentiform Loewenfeld,3.3.8,c,539.9315000000352,12,nonword
46,1,M,4,Lentiform Loewenfeld,3.3.8,m,614.8104000000458,12,word
47,1,C,5,Lentiform Loewenfeld,3.3.8,c,631.0331999999762,12,nonword
48,1,C,1,Lentiform Loewenfeld,3.3.8,c,512.4568000000145,12,nonword
49,1,M,3,Lentiform Loewenfeld,3.3.8,m,609.1271999999008,12,word
50,1,C,4,Lentiform Loewenfeld,3.3.8,c,569.8581000000413,12,nonword
51,1,M,1,Lentiform Loewenfeld,3.3.8,m,508.35289999999804,12,word
52,1,C,3,Lentiform Loewenfeld,3.3.8,c,474.5863000000827,12,nonword
53,1,C,6,Lentiform Loewenfeld,3.3.8,c,629.9596000000311,12,nonword
54,1,M,6,Lentiform Loewenfeld,3.3.8,m,487.70960000003106,12,word
55,1,M,5,Lentiform Loewenfeld,3.3.8,m,478.14709999991464,12,word
56,1,M,3,Lentiform Loewenfeld,3.3.8,m,538.2737000000197,12,word
57,1,M,2,Lentiform Loewenfeld,3.3.8,m,430.3063999999722,12,word
58,1,C,6,Lentiform Loewenfeld,3.3.8,c,483.5081000000355,12,nonword
59,1,M,5,Lentiform Loewenfeld,3.3.8,m,569.3943000000436,12,word
60,1,M,7,Lentiform Loewenfeld,3.3.8,m,450.9676000000327,12,word
61,1,C,5,Lentiform Loewenfeld,3.3.8,c,540.1134999999776,12,nonword
62,1,C,3,Lentiform Loewenfeld,3.3.8,c,563.5031999999192,12,nonword
63,1,C,5,Lentiform Loewenfeld,3.3.8,c,584.640999999945,12,nonword
64,1,C,2,Lentiform Loewenfeld,3.3.8,c,579.0632999999216,12,nonword
65,1,M,6,Lentiform Loewenfeld,3.3.8,m,639.2644000000146,12,word
66,1,C,1,Lentiform Loewenfeld,3.3.8,c,591.7823999999673,12,nonword
67,0,M,3,Lentiform Loewenfeld,3.3.8,c,539.291899999982,12,word
68,1,M,5,Lentiform Loewenfeld,3.3.8,m,367.03410000007716,12,word
69,1,M,7,Lentiform Loewenfeld,3.3.8,m,393.4437999998917,12,word
70,0,C,7,Lentiform Loewenfeld,3.3.8,m,826.0366000000504,12,nonword
71,1,C,7,Lentiform Loewenfeld,3.3.8,c,686.0394000000088,12,nonword
