Unnamed: 0,correct_keyboard_response_1,correct_response,flanker_condition,opensesame_codename,opensesame_version,response_keyboard_response_1,response_time_keyboard_response_1,subject_nr,target_type
0,1,M,6,Lentiform Loewenfeld,3.3.8,m,388.6836999999214,45,word
1,0,C,4,Lentiform Loewenfeld,3.3.8,m,518.9315999999963,45,nonword
2,1,M,5,Lentiform Loewenfeld,3.3.8,m,412.75759999998263,45,word
3,1,C,5,Lentiform Loewenfeld,3.3.8,c,453.51800000015646,45,nonword
4,0,C,4,Lentiform Loewenfeld,3.3.8,m,553.141799999954,45,nonword
5,1,C,5,Lentiform Loewenfeld,3.3.8,c,541.9023000000743,45,nonword
6,1,C,7,Lentiform Loewenfeld,3.3.8,c,671.8187999998918,45,nonword
7,1,M,7,Lentiform Loewenfeld,3.3.8,m,481.7508999998681,45,word
8,1,C,4,Lentiform Loewenfeld,3.3.8,c,591.5179000000062,45,nonword
9,1,C,3,Lentiform Loewenfeld,3.3.8,c,502.8051999999152,45,nonword
10,1,C,7,Lentiform Loewenfeld,3.3.8,c,492.8849000001501,45,nonword
11,1,M,7,Lentiform Loewenfeld,3.3.8,m,473.8153000002203,45,word
12,1,M,6,Lentiform Loewenfeld,3.3.8,m,459.7491000001028,45,word
13,1,M,6,Lentiform Loewenfeld,3.3.8,m,494.19249999994645,45,word
14,1,C,2,Lentiform Loewenfeld,3.3.8,c,620.6338000000978,45,nonword
15,1,M,3,Lentiform Loewenfeld,3.3.8,m,429.0426999999909,45,word
16,1,C,3,Lentiform Loewenfeld,3.3.8,c,420.85859999989043,45,nonword
17,1,M,7,Lentiform Loewenfeld,3.3.8,m,352.6526999998023,45,word
18,0,M,4,Lentiform Loewenfeld,3.3.8,c,448.9110999999393,45,word
19,1,M,5,Lentiform Loewenfeld,3.3.8,m,377.4331999999413,45,word
20,1,C,6,Lentiform Loewenfeld,3.3.8,c,447.0146999998542,45,nonword
21,1,M,2,Lentiform Loewenfeld,3.3.8,m,392.9843999998411,45,word
22,1,C,2,Lentiform Loewenfeld,3.3.8,c,506.5945000000356,45,nonword
23,1,M,7,Lentiform Loewenfeld,3.3.8,m,395.8627999999444,45,word
24,1,C,6,Lentiform Loewenfeld,3.3.8,c,477.3013000000501,45,nonword
25,1,M,1,Lentiform Loewenfeld,3.3.8,m,326.7460999999312,45,word
26,1,C,7,Lentiform Loewenfeld,3.3.8,c,434.05269999985467,45,nonword
27,1,C,3,Lentiform Loewenfeld,3.3.8,c,441.34479999993346,45,nonword
28,1,M,5,Lentiform Loewenfeld,3.3.8,m,383.61410000006435,45,word
29,1,M,1,Lentiform Loewenfeld,3.3.8,m,328.2532999998366,45,word
30,0,C,5,Lentiform Loewenfeld,3.3.8,m,342.33829999985755,45,nonword
