Unnamed: 0,correct_keyboard_response_1,correct_response,flanker_condition,opensesame_codename,opensesame_version,response_keyboard_response_1,response_time_keyboard_response_1,subject_nr,target_type
0,1,C,6,Lentiform Loewenfeld,3.3.8,c,711.6393999999855,43,nonword
1,0,M,5,Lentiform Loewenfeld,3.3.8,c,640.6577999999863,43,word
2,1,C,4,Lentiform Loewenfeld,3.3.8,c,698.0344999999797,43,nonword
3,0,C,7,Lentiform Loewenfeld,3.3.8,m,639.0635999999649,43,nonword
4,1,C,5,Lentiform Loewenfeld,3.3.8,c,517.0430999999808,43,nonword
5,0,C,6,Lentiform Loewenfeld,3.3.8,m,832.3127000000095,43,nonword
6,1,M,1,Lentiform Loewenfeld,3.3.8,m,482.3034999999509,43,word
7,1,M,4,Lentiform Loewenfeld,3.3.8,m,338.0325999999768,43,word
8,1,M,2,Lentiform Loewenfeld,3.3.8,m,385.56969999996363,43,word
9,1,M,3,Lentiform Loewenfeld,3.3.8,m,347.4975999999733,43,word
10,1,C,3,Lentiform Loewenfeld,3.3.8,c,453.1862999999721,43,nonword
11,1,M,2,Lentiform Loewenfeld,3.3.8,m,355.58740000001853,43,word
12,1,M,6,Lentiform Loewenfeld,3.3.8,m,388.3257000000158,43,word
13,1,M,7,Lentiform Loewenfeld,3.3.8,m,333.7208999999566,43,word
14,1,C,4,Lentiform Loewenfeld,3.3.8,c,574.2643000000098,43,nonword
15,0,C,1,Lentiform Loewenfeld,3.3.8,m,526.1355000000331,43,nonword
16,0,C,6,Lentiform Loewenfeld,3.3.8,m,391.36759999999776,43,nonword
17,1,C,6,Lentiform Loewenfeld,3.3.8,c,724.7408999999752,43,nonword
18,0,M,5,Lentiform Loewenfeld,3.3.8,c,355.28230000002077,43,word
19,1,M,7,Lentiform Loewenfeld,3.3.8,m,450.8296000000555,43,word
20,1,C,7,Lentiform Loewenfeld,3.3.8,c,616.7084999999788,43,nonword
21,1,C,3,Lentiform Loewenfeld,3.3.8,c,534.2283999999636,43,nonword
22,1,C,4,Lentiform Loewenfeld,3.3.8,c,563.6392000000342,43,nonword
23,1,C,4,Lentiform Loewenfeld,3.3.8,c,534.1631000000052,43,nonword
24,1,M,7,Lentiform Loewenfeld,3.3.8,m,438.0161000000662,43,word
25,1,M,7,Lentiform Loewenfeld,3.3.8,m,304.0694000000367,43,word
26,1,M,3,Lentiform Loewenfeld,3.3.8,m,283.81930000003194,43,word
27,0,C,1,Lentiform Loewenfeld,3.3.8,m,253.75189999994473,43,nonword
28,1,M,5,Lentiform Loewenfeld,3.3.8,m,633.648199999996,43,word
29,0,C,6,Lentiform Loewenfeld,3.3.8,m,329.3414000000048,43,nonword
30,1,M,7,Lentiform Loewenfeld,3.3.8,m,480.2784999999567,43,word
31,0,C,2,Lentiform Loewenfeld,3.3.8,m,402.7734000000055,43,nonword
32,0,C,5,Lentiform Loewenfeld,3.3.8,m,362.5346000000427,43,nonword
33,0,C,4,Lentiform Loewenfeld,3.3.8,m,380.9274000000441,43,nonword
34,1,M,5,Lentiform Loewenfeld,3.3.8,m,492.22380000000703,43,word
35,0,M,6,Lentiform Loewenfeld,3.3.8,c,358.88120000000345,43,word
36,1,C,4,Lentiform Loewenfeld,3.3.8,c,562.2436999999918,43,nonword
37,0,M,2,Lentiform Loewenfeld,3.3.8,c,520.7841999999946,43,word
38,1,C,3,Lentiform Loewenfeld,3.3.8,c,719.9885000000359,43,nonword
39,1,M,2,Lentiform Loewenfeld,3.3.8,m,405.0138999999908,43,word
40,1,C,7,Lentiform Loewenfeld,3.3.8,c,977.4282999999705,43,nonword
41,1,M,4,Lentiform Loewenfeld,3.3.8,m,599.9135999999999,43,word
42,1,C,4,Lentiform Loewenfeld,3.3.8,c,583.6270000000077,43,nonword
43,1,M,5,Lentiform Loewenfeld,3.3.8,m,528.48020000002,43,word
44,1,M,1,Lentiform Loewenfeld,3.3.8,m,382.85879999998724,43,word
