Unnamed: 0,correct_keyboard_response_1,correct_response,flanker_condition,opensesame_codename,opensesame_version,response_keyboard_response_1,response_time_keyboard_response_1,subject_nr,target_type
0,1,M,7,Lentiform Loewenfeld,3.3.8,m,719.8579999999492,14,word
1,1,C,5,Lentiform Loewenfeld,3.3.8,c,723.8966000000073,14,nonword
2,1,M,5,Lentiform Loewenfeld,3.3.8,m,593.1512999999977,14,word
3,1,M,2,Lentiform Loewenfeld,3.3.8,m,615.8026999999711,14,word
4,1,M,3,Lentiform Loewenfeld,3.3.8,m,568.3591999999771,14,word
5,1,C,6,Lentiform Loewenfeld,3.3.8,c,702.12320000006,14,nonword
6,1,M,5,Lentiform Loewenfeld,3.3.8,m,642.296800000011,14,word
7,1,M,1,Lentiform Loewenfeld,3.3.8,m,532.3481999999785,14,word
8,0,C,5,Lentiform Loewenfeld,3.3.8,m,490.25600000002305,14,nonword
9,1,M,7,Lentiform Loewenfeld,3.3.8,m,485.6585000000196,14,word
10,1,C,2,Lentiform Loewenfeld,3.3.8,c,642.2597999999998,14,nonword
11,1,M,1,Lentiform Loewenfeld,3.3.8,m,634.6135999999824,14,word
12,1,M,7,Lentiform Loewenfeld,3.3.8,m,543.8534999999683,14,word
13,1,M,1,Lentiform Loewenfeld,3.3.8,m,563.742600000056,14,word
14,1,C,4,Lentiform Loewenfeld,3.3.8,c,719.4631999999983,14,nonword
15,1,C,3,Lentiform Loewenfeld,3.3.8,c,558.5107000000135,14,nonword
16,1,M,4,Lentiform Loewenfeld,3.3.8,m,632.443499999994,14,word
17,1,M,6,Lentiform Loewenfeld,3.3.8,m,536.6777000000002,14,word
18,1,M,4,Lentiform Loewenfeld,3.3.8,m,569.2140000000072,14,word
19,1,C,4,Lentiform Loewenfeld,3.3.8,c,555.676199999958,14,nonword
20,1,C,3,Lentiform Loewenfeld,3.3.8,c,556.0026000000071,14,nonword
21,1,M,1,Lentiform Loewenfeld,3.3.8,m,522.1982999999891,14,word
22,1,M,1,Lentiform Loewenfeld,3.3.8,m,513.641100000008,14,word
23,1,M,1,Lentiform Loewenfeld,3.3.8,m,469.22140000000945,14,word
24,1,M,5,Lentiform Loewenfeld,3.3.8,m,515.4515999999712,14,word
25,1,C,4,Lentiform Loewenfeld,3.3.8,c,585.181099999958,14,nonword
26,1,M,2,Lentiform Loewenfeld,3.3.8,m,497.7861999999732,14,word
27,1,C,6,Lentiform Loewenfeld,3.3.8,c,705.8804999999993,14,nonword
28,1,M,2,Lentiform Loewenfeld,3.3.8,m,639.2732999999716,14,word
29,1,M,6,Lentiform Loewenfeld,3.3.8,m,540.9184999999998,14,word
30,1,C,2,Lentiform Loewenfeld,3.3.8,c,567.7978999999759,14,nonword
31,0,C,1,Lentiform Loewenfeld,3.3.8,m,591.8689000000304,14,nonword
32,1,M,7,Lentiform Loewenfeld,3.3.8,m,524.642600000021,14,word
33,1,C,3,Lentiform Loewenfeld,3.3.8,c,634.7237000000314,14,nonword
34,1,C,3,Lentiform Loewenfeld,3.3.8,c,635.251500000013,14,nonword
35,1,M,3,Lentiform Loewenfeld,3.3.8,m,618.9944000000542,14,word
36,1,C,4,Lentiform Loewenfeld,3.3.8,c,565.2020000000193,14,nonword
37,1,M,3,Lentiform Loewenfeld,3.3.8,m,582.8588000000163,14,word
38,1,M,7,Lentiform Loewenfeld,3.3.8,m,510.1743000000424,14,word
39,1,M,1,Lentiform Loewenfeld,3.3.8,m,623.0307000000321,14,word
40,1,C,6,Lentiform Loewenfeld,3.3.8,c,612.6244000000588,14,nonword
41,1,C,4,Lentiform Loewenfeld,3.3.8,c,585.334199999983,14,nonword
42,1,M,6,Lentiform Loewenfeld,3.3.8,m,496.877999999997,14,word
43,1,C,1,Lentiform Loewenfeld,3.3.8,c,442.41539999996894,14,nonword
44,1,M,6,Lentiform Loewenfeld,3.3.8,m,492.8327000000281,14,word
