Unnamed: 0,correct_keyboard_response_1,correct_response,flanker_condition,opensesame_codename,opensesame_version,response_keyboard_response_1,response_time_keyboard_response_1,subject_nr,target_type
0,0,M,7,Lentiform Loewenfeld,3.3.8,c,920.642599999992,11,word
1,1,C,4,Lentiform Loewenfeld,3.3.8,c,716.5425000001851,11,nonword
2,1,C,6,Lentiform Loewenfeld,3.3.8,c,654.523300000088,11,nonword
3,1,C,7,Lentiform Loewenfeld,3.3.8,c,585.3651000001119,11,nonword
4,1,M,2,Lentiform Loewenfeld,3.3.8,m,632.6462999999349,11,word
5,1,C,3,Lentiform Loewenfeld,3.3.8,c,636.4108000001579,11,nonword
6,1,C,6,Lentiform Loewenfeld,3.3.8,c,776.1742000001541,11,nonword
7,1,C,1,Lentiform Loewenfeld,3.3.8,c,534.9054000002216,11,nonword
8,0,C,6,Lentiform Loewenfeld,3.3.8,m,754.5097000000824,11,nonword
9,1,M,6,Lentiform Loewenfeld,3.3.8,m,671.7683999999426,11,word
10,1,M,6,Lentiform Loewenfeld,3.3.8,m,668.1941000000807,11,word
11,1,C,1,Lentiform Loewenfeld,3.3.8,c,616.1131999996433,11,nonword
12,1,C,2,Lentiform Loewenfeld,3.3.8,c,650.028200000088,11,nonword
13,1,M,4,Lentiform Loewenfeld,3.3.8,m,608.7878000001947,11,word
14,1,M,6,Lentiform Loewenfeld,3.3.8,m,506.53909999973257,11,word
15,1,C,5,Lentiform Loewenfeld,3.3.8,c,492.17660000012256,11,nonword
16,1,M,5,Lentiform Loewenfeld,3.3.8,m,601.6091999998898,11,word
17,1,M,4,Lentiform Loewenfeld,3.3.8,m,492.3843000000343,11,word
18,1,M,2,Lentiform Loewenfeld,3.3.8,m,486.4787999998953,11,word
19,0,M,5,Lentiform Loewenfeld,3.3.8,c,730.2600000001839,11,word
20,0,C,2,Lentiform Loewenfeld,3.3.8,m,1115.5391999999702,11,nonword
21,1,C,7,Lentiform Loewenfeld,3.3.8,c,1043.0553999998665,11,nonword
22,1,M,5,Lentiform Loewenfeld,3.3.8,m,644.808299999946,11,word
23,1,M,4,Lentiform Loewenfeld,3.3.8,m,704.6961999998603,11,word
24,1,M,2,Lentiform Loewenfeld,3.3.8,m,594.131999999634,11,word
25,1,C,1,Lentiform Loewenfeld,3.3.8,c,586.2688999999373,11,nonword
26,1,M,7,Lentiform Loewenfeld,3.3.8,m,510.8100000001432,11,word
27,1,M,6,Lentiform Loewenfeld,3.3.8,m,906.9452000002493,11,word
28,1,C,6,Lentiform Loewenfeld,3.3.8,c,724.8682999997109,11,nonword
29,1,M,4,Lentiform Loewenfeld,3.3.8,m,521.9297000002407,11,word
30,1,C,4,Lentiform Loewenfeld,3.3.8,c,704.359600000229,11,nonword
31,1,C,5,Lentiform Loewenfeld,3.3.8,c,664.1264000003575,11,nonword
32,0,M,7,Lentiform Loewenfeld,3.3.8,c,593.0480999999563,11,word
33,0,M,5,Lentiform Loewenfeld,3.3.8,c,1096.4748999998847,11,word
34,1,C,2,Lentiform Loewenfeld,3.3.8,c,870.5000999997719,11,nonword
35,1,M,1,Lentiform Loewenfeld,3.3.8,m,479.74330000023474,11,word
36,1,M,4,Lentiform Loewenfeld,3.3.8,m,560.5328999999329,11,word
37,1,M,2,Lentiform Loewenfeld,3.3.8,m,482.8302999998268,11,word
38,1,M,7,Lentiform Loewenfeld,3.3.8,m,558.2492000002239,11,word
39,1,C,1,Lentiform Loewenfeld,3.3.8,c,469.87750000008964,11,nonword
40,1,M,2,Lentiform Loewenfeld,3.3.8,m,560.6314999999304,11,word
41,1,C,2,Lentiform Loewenfeld,3.3.8,c,559.5621000001265,11,nonword
42,1,C,7,Lentiform Loewenfeld,3.3.8,c,775.6905999998562,11,nonword
43,1,M,3,Lentiform Loewenfeld,3.3.8,m,738.3420999998634,11,word
44,1,C,3,Lentiform Loewenfeld,3.3.8,c,534.8024000003643,11,nonword
45,1,C,7,Lentiform Loewenfeld,3.3.8,c,608.2220000002126,11,nonword
46,0,M,5,Lentiform Loewenfeld,3.3.8,c,542.5132999997877,11,word
47,1,M,5,Lentiform Loewenfeld,3.3.8,m,515.274100000097,11,word
48,1,C,3,Lentiform Loewenfeld,3.3.8,c,579.5637000000279,11,nonword
49,1,C,4,Lentiform Loewenfeld,3.3.8,c,633.6535999997868,11,nonword
50,1,M,1,Lentiform Loewenfeld,3.3.8,m,503.93359999990207,11,word
51,1,M,4,Lentiform Loewenfeld,3.3.8,m,443.88950000019395,11,word
52,1,C,2,Lentiform Loewenfeld,3.3.8,c,623.5091999996221,11,nonword
53,1,M,1,Lentiform Loewenfeld,3.3.8,m,569.0797999999486,11,word
54,1,C,3,Lentiform Loewenfeld,3.3.8,c,560.3902000001399,11,nonword
55,1,M,3,Lentiform Loewenfeld,3.3.8,m,498.15369999976247,11,word
56,1,C,6,Lentiform Loewenfeld,3.3.8,c,498.2778000002145,11,nonword
57,1,C,1,Lentiform Loewenfeld,3.3.8,c,581.5646999998717,11,nonword
58,1,C,4,Lentiform Loewenfeld,3.3.8,c,721.8050000000512,11,nonword
59,1,C,6,Lentiform Loewenfeld,3.3.8,c,677.2328000000562,11,nonword
60,1,M,5,Lentiform Loewenfeld,3.3.8,m,561.6475999999675,11,word
61,1,C,5,Lentiform Loewenfeld,3.3.8,c,551.5917000001646,11,nonword
62,1,M,2,Lentiform Loewenfeld,3.3.8,m,589.5279999998747,11,word
63,1,C,6,Lentiform Loewenfeld,3.3.8,c,704.1605999997118,11,nonword
64,1,M,5,Lentiform Loewenfeld,3.3.8,m,605.3655999998446,11,word
65,0,M,7,Lentiform Loewenfeld,3.3.8,c,744.1723999999813,11,word
66,1,M,4,Lentiform Loewenfeld,3.3.8,m,756.8970999999437,11,word
67,1,C,4,Lentiform Loewenfeld,3.3.8,c,598.279799999902,11,nonword
68,1,C,5,Lentiform Loewenfeld,3.3.8,c,597.5618000001414,11,nonword
69,1,M,7,Lentiform Loewenfeld,3.3.8,m,562.3392999999924,11,word
70,1,M,3,Lentiform Loewenfeld,3.3.8,m,626.1478999998653,11,word
71,1,C,6,Lentiform Loewenfeld,3.3.8,c,542.6999999998952,11,nonword
72,1,C,4,Lentiform Loewenfeld,3.3.8,c,580.7794000001159,11,nonword
73,1,C,5,Lentiform Loewenfeld,3.3.8,c,494.73560000013094,11,nonword
