Unnamed: 0,correct_keyboard_response_1,correct_response,flanker_condition,opensesame_codename,opensesame_version,response_keyboard_response_1,response_time_keyboard_response_1,subject_nr,target_type
0,1,M,6,Lentiform Loewenfeld,3.3.8,m,511.5028000000457,8,word
1,1,M,2,Lentiform Loewenfeld,3.3.8,m,487.4131000000343,8,word
2,1,M,4,Lentiform Loewenfeld,3.3.8,m,502.8450000000012,8,word
3,1,M,6,Lentiform Loewenfeld,3.3.8,m,399.81630000003497,8,word
4,0,C,2,Lentiform Loewenfeld,3.3.8,m,521.9210000000603,8,nonword
5,1,C,4,Lentiform Loewenfeld,3.3.8,c,638.0485000000044,8,nonword
6,1,M,2,Lentiform Loewenfeld,3.3.8,m,420.48339999999735,8,word
7,1,C,4,Lentiform Loewenfeld,3.3.8,c,509.9167999999481,8,nonword
8,1,C,4,Lentiform Loewenfeld,3.3.8,c,593.1948999999731,8,nonword
9,1,M,6,Lentiform Loewenfeld,3.3.8,m,529.7530000000261,8,word
10,1,C,1,Lentiform Loewenfeld,3.3.8,c,489.0534000000044,8,nonword
11,0,M,6,Lentiform Loewenfeld,3.3.8,c,576.3319000000483,8,word
12,1,C,3,Lentiform Loewenfeld,3.3.8,c,676.7727000000305,8,nonword
13,0,M,5,Lentiform Loewenfeld,3.3.8,c,632.6530999999959,8,word
14,1,C,6,Lentiform Loewenfeld,3.3.8,c,813.0233999999473,8,nonword
15,1,C,1,Lentiform Loewenfeld,3.3.8,c,508.358899999992,8,nonword
16,1,M,3,Lentiform Loewenfeld,3.3.8,m,516.7854000000225,8,word
17,1,M,1,Lentiform Loewenfeld,3.3.8,m,468.5871000000625,8,word
18,0,M,3,Lentiform Loewenfeld,3.3.8,c,593.7014000000199,8,word
19,1,M,5,Lentiform Loewenfeld,3.3.8,m,455.13589999996475,8,word
20,1,C,6,Lentiform Loewenfeld,3.3.8,c,492.2418999999645,8,nonword
21,1,C,7,Lentiform Loewenfeld,3.3.8,c,503.87709999998333,8,nonword
22,1,C,2,Lentiform Loewenfeld,3.3.8,c,394.7765000000363,8,nonword
23,0,M,3,Lentiform Loewenfeld,3.3.8,c,568.4447999999684,8,word
24,1,M,7,Lentiform Loewenfeld,3.3.8,m,432.3888000000443,8,word
25,1,C,1,Lentiform Loewenfeld,3.3.8,c,628.9972000000998,8,nonword
26,1,M,6,Lentiform Loewenfeld,3.3.8,m,571.4107999999833,8,word
27,1,M,2,Lentiform Loewenfeld,3.3.8,m,560.8424999999406,8,word
28,1,M,4,Lentiform Loewenfeld,3.3.8,m,564.1135999999533,8,word
29,1,M,1,Lentiform Loewenfeld,3.3.8,m,467.5341999999655,8,word
30,1,C,5,Lentiform Loewenfeld,3.3.8,c,542.0408999999927,8,nonword
31,0,M,4,Lentiform Loewenfeld,3.3.8,c,373.94190000000526,8,word
32,1,C,7,Lentiform Loewenfeld,3.3.8,c,561.2021999999415,8,nonword
33,1,C,2,Lentiform Loewenfeld,3.3.8,c,534.152999999962,8,nonword
34,1,C,7,Lentiform Loewenfeld,3.3.8,c,511.9386000000232,8,nonword
35,1,C,5,Lentiform Loewenfeld,3.3.8,c,605.0569999998843,8,nonword
36,1,M,1,Lentiform Loewenfeld,3.3.8,m,563.6486999999615,8,word
37,1,M,2,Lentiform Loewenfeld,3.3.8,m,496.0635000000184,8,word
38,1,C,4,Lentiform Loewenfeld,3.3.8,c,582.8320000000822,8,nonword
39,1,C,7,Lentiform Loewenfeld,3.3.8,c,427.62819999997737,8,nonword
40,1,C,2,Lentiform Loewenfeld,3.3.8,c,471.7456999999704,8,nonword
41,1,M,1,Lentiform Loewenfeld,3.3.8,m,756.3387000000221,8,word
42,1,M,5,Lentiform Loewenfeld,3.3.8,m,569.0860000000102,8,word
43,1,M,5,Lentiform Loewenfeld,3.3.8,m,504.0582000000577,8,word
44,1,M,5,Lentiform Loewenfeld,3.3.8,m,491.98079999999027,8,word
45,1,C,3,Lentiform Loewenfeld,3.3.8,c,660.0761000000057,8,nonword
46,1,C,1,Lentiform Loewenfeld,3.3.8,c,640.6833999999799,8,nonword
47,1,C,2,Lentiform Loewenfeld,3.3.8,c,664.1069000000134,8,nonword
48,0,M,6,Lentiform Loewenfeld,3.3.8,c,515.8649999999616,8,word
49,1,C,1,Lentiform Loewenfeld,3.3.8,c,828.8199000000022,8,nonword
50,1,M,4,Lentiform Loewenfeld,3.3.8,m,523.7620000000461,8,word
51,1,M,5,Lentiform Loewenfeld,3.3.8,m,420.68370000005234,8,word
52,1,M,3,Lentiform Loewenfeld,3.3.8,m,421.49010000002454,8,word
53,1,C,2,Lentiform Loewenfeld,3.3.8,c,649.2951000000467,8,nonword
54,1,C,6,Lentiform Loewenfeld,3.3.8,c,697.3871000000217,8,nonword
55,1,C,3,Lentiform Loewenfeld,3.3.8,c,497.78779999999097,8,nonword
56,1,C,7,Lentiform Loewenfeld,3.3.8,c,450.406100000022,8,nonword
57,1,M,5,Lentiform Loewenfeld,3.3.8,m,632.3430999999982,8,word
58,1,M,3,Lentiform Loewenfeld,3.3.8,m,801.4634999999544,8,word
59,1,C,3,Lentiform Loewenfeld,3.3.8,c,776.3673999999301,8,nonword
60,0,M,3,Lentiform Loewenfeld,3.3.8,c,368.6267999999109,8,word
61,1,C,3,Lentiform Loewenfeld,3.3.8,c,784.0805000000983,8,nonword
62,1,M,7,Lentiform Loewenfeld,3.3.8,m,549.342799999984,8,word
63,1,M,1,Lentiform Loewenfeld,3.3.8,m,458.930400000012,8,word
64,1,M,7,Lentiform Loewenfeld,3.3.8,m,667.0753999999142,8,word
65,0,C,6,Lentiform Loewenfeld,3.3.8,m,562.9859999999171,8,nonword
66,1,C,5,Lentiform Loewenfeld,3.3.8,c,570.2525999999489,8,nonword
67,1,C,5,Lentiform Loewenfeld,3.3.8,c,475.0359999999637,8,nonword
68,1,C,4,Lentiform Loewenfeld,3.3.8,c,389.2683000000543,8,nonword
69,0,M,4,Lentiform Loewenfeld,3.3.8,c,905.7359999999753,8,word
70,1,M,2,Lentiform Loewenfeld,3.3.8,m,575.7924999999814,8,word
71,1,C,3,Lentiform Loewenfeld,3.3.8,c,752.437200000044,8,nonword
72,1,C,6,Lentiform Loewenfeld,3.3.8,c,647.1381000000401,8,nonword
73,1,C,6,Lentiform Loewenfeld,3.3.8,c,895.079000000027,8,nonword
74,1,M,1,Lentiform Loewenfeld,3.3.8,m,639.1714999999967,8,word
75,1,C,4,Lentiform Loewenfeld,3.3.8,c,518.7572999999393,8,nonword
76,1,M,2,Lentiform Loewenfeld,3.3.8,m,556.6970999999903,8,word
77,1,C,7,Lentiform Loewenfeld,3.3.8,c,561.1551000000909,8,nonword
78,0,C,1,Lentiform Loewenfeld,3.3.8,m,562.5783999999985,8,nonword
79,1,M,3,Lentiform Loewenfeld,3.3.8,m,694.0393999999505,8,word
80,1,C,5,Lentiform Loewenfeld,3.3.8,c,547.1281000000308,8,nonword
81,1,M,4,Lentiform Loewenfeld,3.3.8,m,507.72829999995884,8,word
82,1,M,3,Lentiform Loewenfeld,3.3.8,m,616.7166000000434,8,word
83,1,M,5,Lentiform Loewenfeld,3.3.8,m,385.27170000004116,8,word
84,1,C,6,Lentiform Loewenfeld,3.3.8,c,445.40299999993294,8,nonword
85,1,C,5,Lentiform Loewenfeld,3.3.8,c,401.65200000006007,8,nonword
86,1,C,4,Lentiform Loewenfeld,3.3.8,c,563.0931000001146,8,nonword
87,1,C,4,Lentiform Loewenfeld,3.3.8,c,552.22439999989,8,nonword
88,1,M,4,Lentiform Loewenfeld,3.3.8,m,353.8082000000286,8,word
89,1,M,5,Lentiform Loewenfeld,3.3.8,m,514.2773000000161,8,word
90,1,C,3,Lentiform Loewenfeld,3.3.8,c,689.359999999986,8,nonword
91,1,M,3,Lentiform Loewenfeld,3.3.8,m,642.9635999999009,8,word
92,1,C,1,Lentiform Loewenfeld,3.3.8,c,589.4336000000476,8,nonword
93,1,C,6,Lentiform Loewenfeld,3.3.8,c,650.8622000000323,8,nonword
94,1,M,1,Lentiform Loewenfeld,3.3.8,m,741.2950999999885,8,word
95,1,M,2,Lentiform Loewenfeld,3.3.8,m,611.3745000000345,8,word
96,1,M,7,Lentiform Loewenfeld,3.3.8,m,610.1075000000419,8,word
97,1,C,2,Lentiform Loewenfeld,3.3.8,c,642.7292000000016,8,nonword
98,1,C,3,Lentiform Loewenfeld,3.3.8,c,553.9824000000372,8,nonword
99,1,C,5,Lentiform Loewenfeld,3.3.8,c,536.4393000000273,8,nonword
100,1,C,6,Lentiform Loewenfeld,3.3.8,c,784.2247999999672,8,nonword
101,1,M,5,Lentiform Loewenfeld,3.3.8,m,537.8326000000234,8,word
102,1,C,3,Lentiform Loewenfeld,3.3.8,c,551.9303000000073,8,nonword
103,1,C,6,Lentiform Loewenfeld,3.3.8,c,602.844000000041,8,nonword
104,1,C,2,Lentiform Loewenfeld,3.3.8,c,802.1288000000059,8,nonword
105,0,M,3,Lentiform Loewenfeld,3.3.8,c,504.03779999999097,8,word
106,0,M,6,Lentiform Loewenfeld,3.3.8,c,606.8011000000406,8,word
107,1,M,1,Lentiform Loewenfeld,3.3.8,m,507.8688000000548,8,word
108,0,M,5,Lentiform Loewenfeld,3.3.8,c,630.9860999999801,8,word
109,1,C,3,Lentiform Loewenfeld,3.3.8,c,683.611200000043,8,nonword
110,1,M,3,Lentiform Loewenfeld,3.3.8,m,889.2172000000137,8,word
111,1,C,1,Lentiform Loewenfeld,3.3.8,c,623.289300000004,8,nonword
112,0,C,5,Lentiform Loewenfeld,3.3.8,m,425.6958999999915,8,nonword
113,0,M,3,Lentiform Loewenfeld,3.3.8,c,574.329400000046,8,word
114,0,M,3,Lentiform Loewenfeld,3.3.8,c,610.7319000000134,8,word
115,1,C,5,Lentiform Loewenfeld,3.3.8,c,678.6909000000451,8,nonword
116,1,C,1,Lentiform Loewenfeld,3.3.8,c,667.2858000000124,8,nonword
117,1,M,6,Lentiform Loewenfeld,3.3.8,m,492.07909999997355,8,word
118,1,C,3,Lentiform Loewenfeld,3.3.8,c,625.3852000000188,8,nonword
119,1,C,7,Lentiform Loewenfeld,3.3.8,c,745.6175999999978,8,nonword
120,1,M,5,Lentiform Loewenfeld,3.3.8,m,547.5454999999492,8,word
121,1,C,5,Lentiform Loewenfeld,3.3.8,c,571.5220999999437,8,nonword
122,1,C,2,Lentiform Loewenfeld,3.3.8,c,623.9651999999769,8,nonword
123,1,M,1,Lentiform Loewenfeld,3.3.8,m,471.251600000076,8,word
124,1,C,6,Lentiform Loewenfeld,3.3.8,c,553.3477999998722,8,nonword
125,1,C,7,Lentiform Loewenfeld,3.3.8,c,566.4679999999935,8,nonword
126,1,C,4,Lentiform Loewenfeld,3.3.8,c,609.8904000000912,8,nonword
127,0,C,6,Lentiform Loewenfeld,3.3.8,m,703.9637000000221,8,nonword
128,1,M,3,Lentiform Loewenfeld,3.3.8,m,622.1058000000194,8,word
129,0,C,5,Lentiform Loewenfeld,3.3.8,m,886.679700000037,8,nonword
130,1,M,1,Lentiform Loewenfeld,3.3.8,m,506.06849999999395,8,word
131,1,C,7,Lentiform Loewenfeld,3.3.8,c,511.0139999999665,8,nonword
132,1,C,4,Lentiform Loewenfeld,3.3.8,c,679.1160999999847,8,nonword
133,1,C,4,Lentiform Loewenfeld,3.3.8,c,565.8458999998984,8,nonword
134,0,M,3,Lentiform Loewenfeld,3.3.8,c,551.49099999998,8,word
135,0,M,4,Lentiform Loewenfeld,3.3.8,c,558.6150000000489,8,word
136,1,M,5,Lentiform Loewenfeld,3.3.8,m,543.0312999999151,8,word
137,1,C,2,Lentiform Loewenfeld,3.3.8,c,651.5045999999857,8,nonword
138,1,M,4,Lentiform Loewenfeld,3.3.8,m,716.7500999999465,8,word
139,1,C,2,Lentiform Loewenfeld,3.3.8,c,605.8253000000259,8,nonword
140,1,C,2,Lentiform Loewenfeld,3.3.8,c,620.5826000000816,8,nonword
141,0,M,7,Lentiform Loewenfeld,3.3.8,c,566.015699999989,8,word
142,1,M,3,Lentiform Loewenfeld,3.3.8,m,563.7905000000028,8,word
143,1,M,4,Lentiform Loewenfeld,3.3.8,m,625.6125999999349,8,word
144,1,C,5,Lentiform Loewenfeld,3.3.8,c,632.7010000000009,8,nonword
145,0,C,3,Lentiform Loewenfeld,3.3.8,m,521.7894999999553,8,nonword
146,1,M,4,Lentiform Loewenfeld,3.3.8,m,506.21409999998286,8,word
147,1,C,4,Lentiform Loewenfeld,3.3.8,c,432.4921999999788,8,nonword
148,1,M,3,Lentiform Loewenfeld,3.3.8,m,818.1003999999375,8,word
149,1,M,2,Lentiform Loewenfeld,3.3.8,m,1073.676400000113,8,word
150,1,M,6,Lentiform Loewenfeld,3.3.8,m,666.0021000000415,8,word
151,1,C,3,Lentiform Loewenfeld,3.3.8,c,494.9523000000627,8,nonword
152,1,C,1,Lentiform Loewenfeld,3.3.8,c,631.5709000000497,8,nonword
153,0,C,4,Lentiform Loewenfeld,3.3.8,m,587.1575999999768,8,nonword
154,0,C,2,Lentiform Loewenfeld,3.3.8,m,560.2530999999726,8,nonword
155,1,M,7,Lentiform Loewenfeld,3.3.8,m,574.2022000001161,8,word
156,1,M,1,Lentiform Loewenfeld,3.3.8,m,570.6675999999861,8,word
157,1,M,2,Lentiform Loewenfeld,3.3.8,m,503.59840000001714,8,word
158,1,M,6,Lentiform Loewenfeld,3.3.8,m,783.3604999999516,8,word
159,1,C,7,Lentiform Loewenfeld,3.3.8,c,792.9132000000682,8,nonword
160,1,M,7,Lentiform Loewenfeld,3.3.8,m,634.6752999999444,8,word
161,0,M,3,Lentiform Loewenfeld,3.3.8,c,738.2905999999493,8,word
162,1,C,4,Lentiform Loewenfeld,3.3.8,c,750.3467999998829,8,nonword
163,1,M,7,Lentiform Loewenfeld,3.3.8,m,533.1336999999476,8,word
164,1,M,2,Lentiform Loewenfeld,3.3.8,m,548.5501999999397,8,word
165,0,C,5,Lentiform Loewenfeld,3.3.8,m,365.99009999999544,8,nonword
166,1,M,5,Lentiform Loewenfeld,3.3.8,m,648.2771999999532,8,word
167,0,M,2,Lentiform Loewenfeld,3.3.8,c,625.0646999999881,8,word
168,1,C,4,Lentiform Loewenfeld,3.3.8,c,388.46940000000177,8,nonword
169,1,M,1,Lentiform Loewenfeld,3.3.8,m,539.42220000003,8,word
170,1,M,2,Lentiform Loewenfeld,3.3.8,m,532.3473000000231,8,word
171,0,M,2,Lentiform Loewenfeld,3.3.8,c,726.9315999999526,8,word
172,1,M,5,Lentiform Loewenfeld,3.3.8,m,587.6424999998999,8,word
173,0,C,1,Lentiform Loewenfeld,3.3.8,m,418.9505999999237,8,nonword
174,1,C,3,Lentiform Loewenfeld,3.3.8,c,474.8847999999416,8,nonword
175,1,M,4,Lentiform Loewenfeld,3.3.8,m,781.1674000000348,8,word
176,1,C,3,Lentiform Loewenfeld,3.3.8,c,580.1056000000681,8,nonword
177,1,M,7,Lentiform Loewenfeld,3.3.8,m,600.2208000000101,8,word
178,0,M,7,Lentiform Loewenfeld,3.3.8,c,503.4592999999295,8,word
179,1,M,5,Lentiform Loewenfeld,3.3.8,m,538.4053000000422,8,word
180,1,C,5,Lentiform Loewenfeld,3.3.8,c,545.8624999999884,8,nonword
181,1,M,4,Lentiform Loewenfeld,3.3.8,m,428.12510000000475,8,word
182,0,M,5,Lentiform Loewenfeld,3.3.8,c,829.9085000000196,8,word
183,1,C,6,Lentiform Loewenfeld,3.3.8,c,736.4920000000275,8,nonword
184,1,C,4,Lentiform Loewenfeld,3.3.8,c,509.93329999997513,8,nonword
185,1,C,4,Lentiform Loewenfeld,3.3.8,c,477.70389999996405,8,nonword
186,1,C,1,Lentiform Loewenfeld,3.3.8,c,444.9729000000516,8,nonword
187,1,M,7,Lentiform Loewenfeld,3.3.8,m,424.2579999999143,8,word
188,1,C,4,Lentiform Loewenfeld,3.3.8,c,593.7429000000702,8,nonword
189,1,M,7,Lentiform Loewenfeld,3.3.8,m,477.19759999995586,8,word
190,1,C,5,Lentiform Loewenfeld,3.3.8,c,646.9515999999712,8,nonword
191,1,C,4,Lentiform Loewenfeld,3.3.8,c,532.0764999999665,8,nonword
192,0,M,4,Lentiform Loewenfeld,3.3.8,c,279.85190000000875,8,word
193,0,M,6,Lentiform Loewenfeld,3.3.8,c,611.3011999999871,8,word
194,1,M,7,Lentiform Loewenfeld,3.3.8,m,528.9118000001181,8,word
195,0,C,3,Lentiform Loewenfeld,3.3.8,m,497.8668999999063,8,nonword
196,1,C,4,Lentiform Loewenfeld,3.3.8,c,643.0032000000356,8,nonword
197,1,M,4,Lentiform Loewenfeld,3.3.8,m,611.906100000022,8,word
198,1,M,2,Lentiform Loewenfeld,3.3.8,m,512.0450000001583,8,word
199,1,M,1,Lentiform Loewenfeld,3.3.8,m,372.4791999999433,8,word
200,1,C,5,Lentiform Loewenfeld,3.3.8,c,372.6206999999704,8,nonword
201,1,M,1,Lentiform Loewenfeld,3.3.8,m,358.87450000003446,8,word
202,0,C,3,Lentiform Loewenfeld,3.3.8,m,517.3315999999177,8,nonword
203,1,M,3,Lentiform Loewenfeld,3.3.8,m,679.4461999998894,8,word
204,1,C,6,Lentiform Loewenfeld,3.3.8,c,625.3736999999965,8,nonword
205,1,C,3,Lentiform Loewenfeld,3.3.8,c,916.3014999999432,8,nonword
206,1,M,6,Lentiform Loewenfeld,3.3.8,m,611.7166999999899,8,word
207,1,C,5,Lentiform Loewenfeld,3.3.8,c,612.0068000000902,8,nonword
208,1,M,3,Lentiform Loewenfeld,3.3.8,m,616.2715999998618,8,word
209,1,C,4,Lentiform Loewenfeld,3.3.8,c,680.1965000000782,8,nonword
210,0,M,1,Lentiform Loewenfeld,3.3.8,c,794.6689999999944,8,word
211,1,M,1,Lentiform Loewenfeld,3.3.8,m,504.9148000000277,8,word
212,1,M,1,Lentiform Loewenfeld,3.3.8,m,773.2097999998368,8,word
213,1,C,1,Lentiform Loewenfeld,3.3.8,c,664.9769000000088,8,nonword
214,1,C,2,Lentiform Loewenfeld,3.3.8,c,715.89029999997,8,nonword
215,1,C,2,Lentiform Loewenfeld,3.3.8,c,542.2992000000086,8,nonword
216,1,C,2,Lentiform Loewenfeld,3.3.8,c,618.0498999999836,8,nonword
217,1,M,3,Lentiform Loewenfeld,3.3.8,m,447.6576999999816,8,word
218,1,M,5,Lentiform Loewenfeld,3.3.8,m,491.25659999996424,8,word
219,1,C,5,Lentiform Loewenfeld,3.3.8,c,487.5473999999231,8,nonword
220,1,C,7,Lentiform Loewenfeld,3.3.8,c,545.0199000000721,8,nonword
221,1,C,2,Lentiform Loewenfeld,3.3.8,c,505.9407999999821,8,nonword
222,0,M,3,Lentiform Loewenfeld,3.3.8,c,361.03699999989476,8,word
223,1,M,4,Lentiform Loewenfeld,3.3.8,m,505.15830000001006,8,word
224,1,C,5,Lentiform Loewenfeld,3.3.8,c,799.5946000000695,8,nonword
225,1,C,1,Lentiform Loewenfeld,3.3.8,c,613.8496000000741,8,nonword
226,1,C,2,Lentiform Loewenfeld,3.3.8,c,475.76390000002,8,nonword
227,1,C,2,Lentiform Loewenfeld,3.3.8,c,441.7192999998806,8,nonword
228,0,M,6,Lentiform Loewenfeld,3.3.8,c,334.98090000008244,8,word
229,1,M,6,Lentiform Loewenfeld,3.3.8,m,669.1109999999171,8,word
230,1,C,7,Lentiform Loewenfeld,3.3.8,c,542.1834999999264,8,nonword
231,1,M,3,Lentiform Loewenfeld,3.3.8,m,359.7892999999458,8,word
232,1,C,1,Lentiform Loewenfeld,3.3.8,c,509.91440000000875,8,nonword
233,1,M,6,Lentiform Loewenfeld,3.3.8,m,539.8648999999277,8,word
234,1,M,5,Lentiform Loewenfeld,3.3.8,m,523.436699999962,8,word
235,0,M,7,Lentiform Loewenfeld,3.3.8,c,401.60570000007283,8,word
236,1,M,4,Lentiform Loewenfeld,3.3.8,m,554.5868999999948,8,word
237,0,C,1,Lentiform Loewenfeld,3.3.8,m,514.5332000000635,8,nonword
238,1,C,5,Lentiform Loewenfeld,3.3.8,c,542.1358000000473,8,nonword
239,1,M,5,Lentiform Loewenfeld,3.3.8,m,1190.382599999895,8,word
240,1,C,6,Lentiform Loewenfeld,3.3.8,c,701.607699999935,8,nonword
241,1,M,7,Lentiform Loewenfeld,3.3.8,m,412.9890000000596,8,word
242,0,M,4,Lentiform Loewenfeld,3.3.8,c,445.81099999998696,8,word
243,1,M,5,Lentiform Loewenfeld,3.3.8,m,465.7730000000447,8,word
244,1,C,6,Lentiform Loewenfeld,3.3.8,c,350.5372000001371,8,nonword
245,1,C,3,Lentiform Loewenfeld,3.3.8,c,793.8207999999868,8,nonword
246,1,C,4,Lentiform Loewenfeld,3.3.8,c,536.0992999998853,8,nonword
247,1,M,7,Lentiform Loewenfeld,3.3.8,m,542.8499999999767,8,word
248,1,C,7,Lentiform Loewenfeld,3.3.8,c,471.6145999999717,8,nonword
249,1,C,5,Lentiform Loewenfeld,3.3.8,c,721.5717999999179,8,nonword
250,1,M,6,Lentiform Loewenfeld,3.3.8,m,635.312799999956,8,word
