Unnamed: 0,correct_keyboard_response_1,correct_response,flanker_condition,opensesame_codename,opensesame_version,response_keyboard_response_1,response_time_keyboard_response_1,subject_nr,target_type
0,1,C,1,Lentiform Loewenfeld,3.3.8,c,861.0143999999855,38,nonword
1,1,C,6,Lentiform Loewenfeld,3.3.8,c,609.5563999999722,38,nonword
2,1,M,5,Lentiform Loewenfeld,3.3.8,m,537.4949999999953,38,word
3,0,C,4,Lentiform Loewenfeld,3.3.8,m,576.6412999999593,38,nonword
4,1,M,2,Lentiform Loewenfeld,3.3.8,m,440.745099999971,38,word
5,1,C,5,Lentiform Loewenfeld,3.3.8,c,559.052800000034,38,nonword
6,1,C,5,Lentiform Loewenfeld,3.3.8,c,706.815900000016,38,nonword
7,1,C,1,Lentiform Loewenfeld,3.3.8,c,670.570000000007,38,nonword
8,1,M,1,Lentiform Loewenfeld,3.3.8,m,532.9842000000062,38,word
9,1,M,2,Lentiform Loewenfeld,3.3.8,m,601.5847000000067,38,word
10,1,M,7,Lentiform Loewenfeld,3.3.8,m,514.4886999999871,38,word
11,1,C,1,Lentiform Loewenfeld,3.3.8,c,515.5360000000219,38,nonword
12,1,C,1,Lentiform Loewenfeld,3.3.8,c,520.9041000000143,38,nonword
13,1,C,1,Lentiform Loewenfeld,3.3.8,c,590.3303000000305,38,nonword
14,1,M,1,Lentiform Loewenfeld,3.3.8,m,465.0446000000229,38,word
15,1,C,1,Lentiform Loewenfeld,3.3.8,c,618.1731000000145,38,nonword
16,0,C,7,Lentiform Loewenfeld,3.3.8,m,579.1728000000003,38,nonword
17,1,C,3,Lentiform Loewenfeld,3.3.8,c,547.4314000000013,38,nonword
18,1,M,6,Lentiform Loewenfeld,3.3.8,m,590.9994999999763,38,word
19,1,M,1,Lentiform Loewenfeld,3.3.8,m,701.9695000000356,38,word
20,1,M,2,Lentiform Loewenfeld,3.3.8,m,549.4041000000143,38,word
21,1,C,5,Lentiform Loewenfeld,3.3.8,c,609.6663999999291,38,nonword
22,1,C,6,Lentiform Loewenfeld,3.3.8,c,621.4190000000235,38,nonword
23,1,M,7,Lentiform Loewenfeld,3.3.8,m,580.6923999999999,38,word
24,1,C,7,Lentiform Loewenfeld,3.3.8,c,611.8116000000155,38,nonword
25,1,M,4,Lentiform Loewenfeld,3.3.8,m,546.7667000000074,38,word
26,1,C,6,Lentiform Loewenfeld,3.3.8,c,581.3599000000395,38,nonword
27,1,C,2,Lentiform Loewenfeld,3.3.8,c,628.618599999958,38,nonword
28,1,C,3,Lentiform Loewenfeld,3.3.8,c,669.5276999999769,38,nonword
29,1,C,4,Lentiform Loewenfeld,3.3.8,c,1000.4512000000104,38,nonword
30,1,M,1,Lentiform Loewenfeld,3.3.8,m,621.0122000000265,38,word
31,1,M,2,Lentiform Loewenfeld,3.3.8,m,771.7503000000142,38,word
32,1,C,4,Lentiform Loewenfeld,3.3.8,c,540.8605999999854,38,nonword
33,1,C,6,Lentiform Loewenfeld,3.3.8,c,633.82779999997,38,nonword
34,1,C,2,Lentiform Loewenfeld,3.3.8,c,509.39790000009816,38,nonword
35,1,M,1,Lentiform Loewenfeld,3.3.8,m,546.4710000000196,38,word
36,1,C,2,Lentiform Loewenfeld,3.3.8,c,534.9530999999843,38,nonword
37,1,M,7,Lentiform Loewenfeld,3.3.8,m,551.881800000061,38,word
38,1,C,7,Lentiform Loewenfeld,3.3.8,c,528.832699999999,38,nonword
39,1,C,7,Lentiform Loewenfeld,3.3.8,c,629.5920999999798,38,nonword
40,1,M,4,Lentiform Loewenfeld,3.3.8,m,592.5176999999385,38,word
41,1,C,2,Lentiform Loewenfeld,3.3.8,c,581.1320999999007,38,nonword
42,1,C,7,Lentiform Loewenfeld,3.3.8,c,518.8944999999949,38,nonword
43,1,C,4,Lentiform Loewenfeld,3.3.8,c,724.4763000000385,38,nonword
44,1,C,5,Lentiform Loewenfeld,3.3.8,c,566.6016000000236,38,nonword
45,1,M,4,Lentiform Loewenfeld,3.3.8,m,617.310999999987,38,word
46,1,M,6,Lentiform Loewenfeld,3.3.8,m,500.23059999992256,38,word
47,1,M,6,Lentiform Loewenfeld,3.3.8,m,824.0452999999688,38,word
48,1,M,2,Lentiform Loewenfeld,3.3.8,m,553.7849999999453,38,word
49,1,C,7,Lentiform Loewenfeld,3.3.8,c,580.711500000034,38,nonword
50,1,M,6,Lentiform Loewenfeld,3.3.8,m,504.1422999999486,38,word
51,0,M,5,Lentiform Loewenfeld,3.3.8,c,713.7617000001483,38,word
52,1,M,3,Lentiform Loewenfeld,3.3.8,m,499.02490000001853,38,word
53,1,M,3,Lentiform Loewenfeld,3.3.8,m,458.8062999999965,38,word
54,1,C,3,Lentiform Loewenfeld,3.3.8,c,500.06099999998696,38,nonword
