Unnamed: 0,correct_keyboard_response_1,correct_response,flanker_condition,opensesame_codename,opensesame_version,response_keyboard_response_1,response_time_keyboard_response_1,subject_nr,target_type
0,0,C,2,Lentiform Loewenfeld,3.3.8,m,804.964599999963,33,nonword
1,1,M,4,Lentiform Loewenfeld,3.3.8,m,492.780700000003,33,word
2,1,M,3,Lentiform Loewenfeld,3.3.8,m,467.17650000001595,33,word
3,1,C,1,Lentiform Loewenfeld,3.3.8,c,553.573899999974,33,nonword
4,1,M,3,Lentiform Loewenfeld,3.3.8,m,581.9231000000145,33,word
5,1,M,3,Lentiform Loewenfeld,3.3.8,m,468.45999999996275,33,word
6,1,M,4,Lentiform Loewenfeld,3.3.8,m,456.71649999998044,33,word
7,1,C,2,Lentiform Loewenfeld,3.3.8,c,457.45040000000154,33,nonword
8,0,M,2,Lentiform Loewenfeld,3.3.8,c,701.9671999999846,33,word
9,1,C,5,Lentiform Loewenfeld,3.3.8,c,698.2545000000391,33,nonword
10,1,C,1,Lentiform Loewenfeld,3.3.8,c,563.5692999999446,33,nonword
11,1,C,3,Lentiform Loewenfeld,3.3.8,c,556.1275000000023,33,nonword
12,1,M,5,Lentiform Loewenfeld,3.3.8,m,504.4856999999902,33,word
13,1,M,6,Lentiform Loewenfeld,3.3.8,m,424.68309999999474,33,word
14,1,M,6,Lentiform Loewenfeld,3.3.8,m,496.59619999997085,33,word
15,1,M,5,Lentiform Loewenfeld,3.3.8,m,463.3535999999731,33,word
16,1,C,7,Lentiform Loewenfeld,3.3.8,c,604.6174000000174,33,nonword
17,1,C,7,Lentiform Loewenfeld,3.3.8,c,556.4386999999697,33,nonword
18,1,M,5,Lentiform Loewenfeld,3.3.8,m,620.0112000000372,33,word
19,1,M,5,Lentiform Loewenfeld,3.3.8,m,419.37629999997444,33,word
20,1,C,2,Lentiform Loewenfeld,3.3.8,c,661.0805999999866,33,nonword
21,1,C,7,Lentiform Loewenfeld,3.3.8,c,511.95269999993616,33,nonword
22,1,M,4,Lentiform Loewenfeld,3.3.8,m,598.506400000013,33,word
23,1,C,5,Lentiform Loewenfeld,3.3.8,c,492.37100000001374,33,nonword
24,1,C,6,Lentiform Loewenfeld,3.3.8,c,460.5994000000064,33,nonword
25,0,M,2,Lentiform Loewenfeld,3.3.8,c,511.7840999999608,33,word
26,1,C,2,Lentiform Loewenfeld,3.3.8,c,810.5265000000072,33,nonword
27,1,C,4,Lentiform Loewenfeld,3.3.8,c,675.6965999999666,33,nonword
28,1,M,5,Lentiform Loewenfeld,3.3.8,m,656.7326999999932,33,word
29,1,M,7,Lentiform Loewenfeld,3.3.8,m,399.6218999999692,33,word
30,1,M,1,Lentiform Loewenfeld,3.3.8,m,615.496599999984,33,word
31,1,M,1,Lentiform Loewenfeld,3.3.8,m,548.5309000000125,33,word
32,1,C,5,Lentiform Loewenfeld,3.3.8,c,557.0922999999893,33,nonword
33,1,C,1,Lentiform Loewenfeld,3.3.8,c,603.2097000000067,33,nonword
34,1,C,5,Lentiform Loewenfeld,3.3.8,c,800.6726000000199,33,nonword
35,1,C,1,Lentiform Loewenfeld,3.3.8,c,728.2366000000329,33,nonword
36,1,M,4,Lentiform Loewenfeld,3.3.8,m,458.06949999998324,33,word
37,1,M,1,Lentiform Loewenfeld,3.3.8,m,403.4173000000301,33,word
38,1,C,1,Lentiform Loewenfeld,3.3.8,c,611.4789999999921,33,nonword
39,1,M,7,Lentiform Loewenfeld,3.3.8,m,426.0370000000403,33,word
40,1,M,5,Lentiform Loewenfeld,3.3.8,m,428.9441999999981,33,word
41,1,C,5,Lentiform Loewenfeld,3.3.8,c,526.6714999999967,33,nonword
42,1,C,6,Lentiform Loewenfeld,3.3.8,c,631.2253000000201,33,nonword
43,1,C,1,Lentiform Loewenfeld,3.3.8,c,655.2773999999918,33,nonword
