Unnamed: 0,correct_keyboard_response_1,correct_response,flanker_condition,opensesame_codename,opensesame_version,response_keyboard_response_1,response_time_keyboard_response_1,subject_nr,target_type
0,1,M,2,Lentiform Loewenfeld,3.3.8,m,463.4464999999909,23,word
1,1,C,5,Lentiform Loewenfeld,3.3.8,c,652.1351000000141,23,nonword
2,1,M,5,Lentiform Loewenfeld,3.3.8,m,540.2607000000135,23,word
3,1,C,7,Lentiform Loewenfeld,3.3.8,c,588.6807999999728,23,nonword
4,1,C,5,Lentiform Loewenfeld,3.3.8,c,931.276199999993,23,nonword
5,1,M,6,Lentiform Loewenfeld,3.3.8,m,428.0093000000052,23,word
6,1,C,2,Lentiform Loewenfeld,3.3.8,c,823.8267000000051,23,nonword
7,1,C,4,Lentiform Loewenfeld,3.3.8,c,731.5319999999774,23,nonword
8,1,M,1,Lentiform Loewenfeld,3.3.8,m,518.639599999995,23,word
9,0,C,7,Lentiform Loewenfeld,3.3.8,m,547.4021999999823,23,nonword
10,1,M,1,Lentiform Loewenfeld,3.3.8,m,936.5113000000129,23,word
11,1,M,4,Lentiform Loewenfeld,3.3.8,m,537.08050000004,23,word
12,1,C,5,Lentiform Loewenfeld,3.3.8,c,607.0247999999847,23,nonword
13,1,M,7,Lentiform Loewenfeld,3.3.8,m,543.9624999999942,23,word
14,1,M,5,Lentiform Loewenfeld,3.3.8,m,532.7284000000218,23,word
15,1,M,5,Lentiform Loewenfeld,3.3.8,m,558.8106000000553,23,word
16,1,C,6,Lentiform Loewenfeld,3.3.8,c,528.4574999999604,23,nonword
17,1,C,3,Lentiform Loewenfeld,3.3.8,c,782.2067000000388,23,nonword
18,1,C,2,Lentiform Loewenfeld,3.3.8,c,648.8086999999941,23,nonword
19,1,M,3,Lentiform Loewenfeld,3.3.8,m,537.6060000000289,23,word
20,1,M,3,Lentiform Loewenfeld,3.3.8,m,706.1706999999878,23,word
21,1,M,5,Lentiform Loewenfeld,3.3.8,m,554.3934000000008,23,word
22,0,C,2,Lentiform Loewenfeld,3.3.8,m,560.375699999975,23,nonword
23,1,C,6,Lentiform Loewenfeld,3.3.8,c,1188.1525999999722,23,nonword
24,0,C,1,Lentiform Loewenfeld,3.3.8,m,758.4836000000068,23,nonword
25,1,C,7,Lentiform Loewenfeld,3.3.8,c,829.5733999999939,23,nonword
26,1,M,1,Lentiform Loewenfeld,3.3.8,m,675.3167000000249,23,word
27,1,C,1,Lentiform Loewenfeld,3.3.8,c,527.7323000000033,23,nonword
28,1,M,3,Lentiform Loewenfeld,3.3.8,m,680.6607000000076,23,word
29,1,C,5,Lentiform Loewenfeld,3.3.8,c,407.27050000001327,23,nonword
30,1,M,6,Lentiform Loewenfeld,3.3.8,m,511.0252999999793,23,word
31,1,C,3,Lentiform Loewenfeld,3.3.8,c,680.46040000004,23,nonword
32,1,C,7,Lentiform Loewenfeld,3.3.8,c,850.2277999999933,23,nonword
33,1,C,7,Lentiform Loewenfeld,3.3.8,c,735.8247000000265,23,nonword
34,1,M,4,Lentiform Loewenfeld,3.3.8,m,622.2188000000024,23,word
35,1,M,1,Lentiform Loewenfeld,3.3.8,m,603.3032999999996,23,word
36,1,M,5,Lentiform Loewenfeld,3.3.8,m,477.0819999999658,23,word
37,1,M,5,Lentiform Loewenfeld,3.3.8,m,569.3393999999971,23,word
38,1,C,7,Lentiform Loewenfeld,3.3.8,c,879.3071000000346,23,nonword
39,1,C,5,Lentiform Loewenfeld,3.3.8,c,587.2206000000297,23,nonword
40,1,C,6,Lentiform Loewenfeld,3.3.8,c,600.154899999965,23,nonword
41,1,M,7,Lentiform Loewenfeld,3.3.8,m,582.748099999968,23,word
42,1,M,7,Lentiform Loewenfeld,3.3.8,m,682.0133000000205,23,word
43,1,M,6,Lentiform Loewenfeld,3.3.8,m,452.42639999999665,23,word
44,0,C,4,Lentiform Loewenfeld,3.3.8,m,1052.5237000000197,23,nonword
45,1,M,2,Lentiform Loewenfeld,3.3.8,m,541.7319999999891,23,word
46,1,M,5,Lentiform Loewenfeld,3.3.8,m,716.1521000000066,23,word
47,1,C,5,Lentiform Loewenfeld,3.3.8,c,592.9038999999757,23,nonword
48,1,M,2,Lentiform Loewenfeld,3.3.8,m,491.33989999996265,23,word
49,1,C,3,Lentiform Loewenfeld,3.3.8,c,732.8138000000035,23,nonword
50,1,C,3,Lentiform Loewenfeld,3.3.8,c,821.2087000000174,23,nonword
