Unnamed: 0,correct_keyboard_response_1,correct_response,flanker_condition,opensesame_codename,opensesame_version,response_keyboard_response_1,response_time_keyboard_response_1,subject_nr,target_type
0,1,C,5,Lentiform Loewenfeld,3.3.8,c,746.2584999942919,4,nonword
1,1,M,4,Lentiform Loewenfeld,3.3.8,m,525.926900000195,4,word
2,1,M,6,Lentiform Loewenfeld,3.3.8,m,615.1757000101497,4,word
3,1,C,6,Lentiform Loewenfeld,3.3.8,c,551.840100006666,4,nonword
4,1,C,1,Lentiform Loewenfeld,3.3.8,c,578.5417000064626,4,nonword
5,1,M,5,Lentiform Loewenfeld,3.3.8,m,437.8800000034971,4,word
6,1,M,5,Lentiform Loewenfeld,3.3.8,m,617.318900002283,4,word
7,1,M,7,Lentiform Loewenfeld,3.3.8,m,367.35639999678824,4,word
8,1,C,7,Lentiform Loewenfeld,3.3.8,c,493.2403000042541,4,nonword
9,1,M,1,Lentiform Loewenfeld,3.3.8,m,474.1131999966456,4,word
10,1,M,1,Lentiform Loewenfeld,3.3.8,m,528.670999998576,4,word
11,1,M,1,Lentiform Loewenfeld,3.3.8,m,444.5491999998921,4,word
12,1,M,3,Lentiform Loewenfeld,3.3.8,m,426.5052999893669,4,word
13,1,C,5,Lentiform Loewenfeld,3.3.8,c,582.1878999908222,4,nonword
14,1,C,1,Lentiform Loewenfeld,3.3.8,c,727.4146999901859,4,nonword
15,1,M,7,Lentiform Loewenfeld,3.3.8,m,510.266399991815,4,word
16,1,M,1,Lentiform Loewenfeld,3.3.8,m,499.4896000047447,4,word
17,1,C,4,Lentiform Loewenfeld,3.3.8,c,690.8822000026703,4,nonword
18,1,M,7,Lentiform Loewenfeld,3.3.8,m,548.7341999891214,4,word
19,1,M,5,Lentiform Loewenfeld,3.3.8,m,504.77580000588205,4,word
20,1,M,4,Lentiform Loewenfeld,3.3.8,m,508.48409999744035,4,word
21,0,M,5,Lentiform Loewenfeld,3.3.8,c,646.6752999898745,4,word
22,0,C,7,Lentiform Loewenfeld,3.3.8,m,679.8697000107495,4,nonword
23,1,C,7,Lentiform Loewenfeld,3.3.8,c,843.0732000037096,4,nonword
24,1,C,2,Lentiform Loewenfeld,3.3.8,c,795.0990000012098,4,nonword
25,1,C,5,Lentiform Loewenfeld,3.3.8,c,724.6166000026278,4,nonword
26,1,M,1,Lentiform Loewenfeld,3.3.8,m,475.4417999996804,4,word
27,1,C,6,Lentiform Loewenfeld,3.3.8,c,896.6818999964744,4,nonword
28,1,C,5,Lentiform Loewenfeld,3.3.8,c,743.0135999951744,4,nonword
29,1,M,1,Lentiform Loewenfeld,3.3.8,m,544.6757999947295,4,word
30,1,M,3,Lentiform Loewenfeld,3.3.8,m,454.5669999992242,4,word
31,1,C,5,Lentiform Loewenfeld,3.3.8,c,654.4464000093285,4,nonword
32,1,M,5,Lentiform Loewenfeld,3.3.8,m,732.1462000021711,4,word
33,1,C,6,Lentiform Loewenfeld,3.3.8,c,791.163400010555,4,nonword
34,1,M,3,Lentiform Loewenfeld,3.3.8,m,444.5445000077598,4,word
35,1,M,5,Lentiform Loewenfeld,3.3.8,m,602.4589999928139,4,word
36,1,C,5,Lentiform Loewenfeld,3.3.8,c,598.4740999905625,4,nonword
37,1,C,4,Lentiform Loewenfeld,3.3.8,c,787.4181999999564,4,nonword
38,1,M,4,Lentiform Loewenfeld,3.3.8,m,465.2760999946622,4,word
39,1,M,2,Lentiform Loewenfeld,3.3.8,m,580.8342000003904,4,word
40,1,C,2,Lentiform Loewenfeld,3.3.8,c,596.3468999892939,4,nonword
41,1,M,3,Lentiform Loewenfeld,3.3.8,m,592.3906000010902,4,word
42,1,C,3,Lentiform Loewenfeld,3.3.8,c,666.7247999925166,4,nonword
43,1,C,4,Lentiform Loewenfeld,3.3.8,c,733.4171000024071,4,nonword
44,1,C,3,Lentiform Loewenfeld,3.3.8,c,707.0872999960557,4,nonword
45,0,C,1,Lentiform Loewenfeld,3.3.8,m,587.2487999935402,4,nonword
46,1,M,4,Lentiform Loewenfeld,3.3.8,m,605.6566999963252,4,word
47,1,M,2,Lentiform Loewenfeld,3.3.8,m,585.3176000004169,4,word
48,1,C,7,Lentiform Loewenfeld,3.3.8,c,629.3936000060057,4,nonword
49,1,C,3,Lentiform Loewenfeld,3.3.8,c,543.736700003501,4,nonword
