,Unnamed: 0,Participant_unique_ID,correct_keyboard_response,correct_response,flanker_condition,response_keyboard_response,response_time_keyboard_response,stimulus,Latin_square_group,target_type
24425,24425,59,1,M,6,m,319,pakt pakt pakt leef pakt leef pakt,4,word
24426,24426,59,1,M,5,m,304,zout zout zout grap grap zout zout,4,word
24427,24427,59,1,M,5,m,370,lijf lijf lijf mede mede lijf lijf,4,word
24428,24428,59,1,M,1,m,295,rook rook rook wens rook rook rook,4,word
24429,24429,59,0,C,2,m,254,nist rolk rolk nist rolk rolk rolk,4,nonword
24430,24430,59,0,M,2,c,298,doek mits mits doek mits mits mits,4,word
24431,24431,59,1,M,2,m,317,mode ruil ruil mode ruil ruil ruil,4,word
24432,24432,59,1,M,4,m,348,vlot vlot eend eend vlot vlot vlot,4,word
24433,24433,59,0,C,6,m,358,tinx tinx tinx goef tinx goef tinx,4,nonword
24434,24434,59,1,M,2,m,422,bouw dien dien bouw dien dien dien,4,word
24435,24435,59,1,C,5,c,397,cula cula cula dize dize cula cula,4,nonword
24436,24436,59,0,M,6,c,296,erop erop erop half erop half erop,4,word
24437,24437,59,0,C,4,m,403,voog voog nere nere voog voog voog,4,nonword
24438,24438,59,0,C,4,m,336,hust hust dran dran hust hust hust,4,nonword
24439,24439,59,1,M,7,m,456,tijd tijd tijd heel tijd tijd heel,4,word
24440,24440,59,1,C,3,c,565,lura weft lura weft lura lura lura,4,nonword
24441,24441,59,0,C,6,m,441,unen unen unen vooi unen vooi unen,4,nonword
24442,24442,59,1,M,5,m,465,slet slet slet mark mark slet slet,4,word
24443,24443,59,1,C,7,c,484,koke koke koke igri koke koke igri,4,nonword
24444,24444,59,1,M,2,m,467,zoet mijl mijl zoet mijl mijl mijl,4,word
24445,24445,59,1,M,6,m,417,flat flat flat merk flat merk flat,4,word
24446,24446,59,1,M,2,m,339,stop vele vele stop vele vele vele,4,word
24447,24447,59,1,M,1,m,483,slok slok slok chip slok slok slok,4,word
24448,24448,59,1,M,4,m,398,raar raar hing hing raar raar raar,4,word
24449,24449,59,1,C,3,c,430,brum isfe brum isfe brum brum brum,4,nonword
24450,24450,59,1,M,3,m,486,enge tram enge tram enge enge enge,4,word
24451,24451,59,1,M,7,m,409,heen heen heen soms heen heen soms,4,word
24452,24452,59,0,C,3,m,466,hawa pelk hawa pelk hawa hawa hawa,4,nonword
24453,24453,59,1,M,4,m,397,keel keel tong tong keel keel keel,4,word
24454,24454,59,1,C,4,c,575,wijm wijm bels bels wijm wijm wijm,4,nonword
24455,24455,59,1,M,6,m,431,dolf dolf dolf miss dolf miss dolf,4,word
24456,24456,59,1,M,5,m,429,gast gast gast held held gast gast,4,word
24457,24457,59,1,C,7,c,526,kels kels kels doov kels kels doov,4,nonword
